File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
fe0300021,20,1,1,what do y- that's a that's a nice extreme  you went from like nice beach weather in your bikini to like freezing chicago with and a al- ain't it a bit cold  ,"['and', 'a', 'al-']","('and', 'a', 'al-')","['and', 'a', 'al-']","('and', 'a', 'al-')",1.0,0.004429968684994363,"['it', 'a', 'bit']","('it', 'a', 'bit')","['it', 'a', 'bit']","('it', 'a', 'bit')",1.0,0.004429968684994363,and,and,23.0,0.10188927975487035,a,a,7.0,0.03100978079496054,al-,al,1.0,0.004429968684994363,it,it,38.0,0.16833881002978576,a,a,27.0,0.1196091544948478,bit,bit,1.0,0.004429968684994363
fe0300153,57,3,3,and i ain't i ain't going to no i ain't going to no gulf war two ,"[nan, 'and', 'i']","(nan, 'and', 'i')","['and', 'i']","('and', 'i')",6.0,0.026579812109966176,"['i', ""ain't"", 'going']","('i', ""ain't"", 'going')","['i', ""ain't"", 'going']","('i', ""ain't"", 'going')",1.0,0.004429968684994363,,,295.0,1.3068407620733369,and,and,47.0,0.20820852819473504,i,i,224.0,0.9923129854387372,i,i,8.0,0.0354397494799549,ain't,ain't,15.0,0.06644953027491544,going,going,1.0,0.004429968684994363
fe0300153,57,3,3,and i ain't i ain't going to no i ain't going to no gulf war two ,"['i', ""ain't"", 'i']","('i', ""ain't"", 'i')","['i', ""ain't"", 'i']","('i', ""ain't"", 'i')",5.0,0.022149843424971814,"['going', 'to', 'no']","('going', 'to', 'no')","['going', 'to', 'no']","('going', 'to', 'no')",2.0,0.008859937369988725,i,i,45.0,0.19934859082474635,ain't,ain't,15.0,0.06644953027491544,i,i,224.0,0.9923129854387372,going,going,86.0,0.3809773069095152,to,to,101.0,0.44742683718443066,no,no,24.0,0.1063192484398647
fe0300153,57,3,3,and i ain't i ain't going to no i ain't going to no gulf war two ,"['to', 'no', 'i']","('to', 'no', 'i')","['to', 'no', 'i']","('to', 'no', 'i')",1.0,0.004429968684994363,"['going', 'to', 'no']","('going', 'to', 'no')","['going', 'to', 'no']","('going', 'to', 'no')",2.0,0.008859937369988725,to,to,9.0,0.03986971816494926,no,no,22.0,0.09745931106987597,i,i,224.0,0.9923129854387372,going,going,86.0,0.3809773069095152,to,to,101.0,0.44742683718443066,no,no,24.0,0.1063192484398647
fe0300215,177,1,1,this and that and five kids and hey hey i ain't training coaching no basketball team right now so  ,"['hey', 'hey', 'i']","('hey', 'hey', 'i')","['hey', 'hey', 'i']","('hey', 'hey', 'i')",1.0,0.004429968684994363,"['training', 'coaching', 'no']","('training', 'coaching', 'no')","['training', 'coaching', 'no']","('training', 'coaching', 'no')",1.0,0.004429968684994363,hey,hey,1.0,0.004429968684994363,hey,hey,4.0,0.01771987473997745,i,i,224.0,0.9923129854387372,training,training,1.0,0.004429968684994363,coaching,coaching,1.0,0.004429968684994363,no,no,24.0,0.1063192484398647
fe0300294,213,1,1,oh texas  ain't  alabama ,"[nan, 'oh', 'texas']","(nan, 'oh', 'texas')","['oh', 'texas']","('oh', 'texas')",1.0,0.004429968684994363,"['alabama', nan, nan]","('alabama', nan, nan)",['alabama'],"('alabama',)",1.0,0.004429968684994363,,,295.0,1.3068407620733369,oh,oh,23.0,0.10188927975487035,texas,texas,2.0,0.008859937369988725,alabama,alabama,1.0,0.004429968684994363,,,100.0,0.44299686849943626,,,187.0,0.8284041440939458
fe0300395,90,1,1,you know he think he's actually moved a lot of their stuff out to syria and we ain't looking in syria ,"['syria', 'and', 'we']","('syria', 'and', 'we')","['syria', 'and', 'we']","('syria', 'and', 'we')",1.0,0.004429968684994363,"['looking', 'in', 'syria']","('looking', 'in', 'syria')","['looking', 'in', 'syria']","('looking', 'in', 'syria')",1.0,0.004429968684994363,syria,syria,1.0,0.004429968684994363,and,and,47.0,0.20820852819473504,we,we,37.0,0.16390884134479142,looking,looking,1.0,0.004429968684994363,in,in,7.0,0.03100978079496054,syria,syria,1.0,0.004429968684994363
fe0300486,52,1,1,oh that ain't too bad though ,"[nan, 'oh', 'that']","(nan, 'oh', 'that')","['oh', 'that']","('oh', 'that')",3.0,0.013289906054983088,"['too', 'bad', 'though']","('too', 'bad', 'though')","['too', 'bad', 'though']","('too', 'bad', 'though')",1.0,0.004429968684994363,,,295.0,1.3068407620733369,oh,oh,23.0,0.10188927975487035,that,that,71.0,0.31452777663459974,too,too,27.0,0.1196091544948478,bad,bad,19.0,0.08416940501489288,though,though,2.0,0.008859937369988725
fe0300505,285,1,1,oh man i ain't ,"['oh', 'man', 'i']","('oh', 'man', 'i')","['oh', 'man', 'i']","('oh', 'man', 'i')",1.0,0.004429968684994363,"[nan, nan, nan]","(nan, nan, nan)",[],(),17.0,0.07530946764490416,oh,oh,10.0,0.04429968684994363,man,man,4.0,0.01771987473997745,i,i,224.0,0.9923129854387372,,,17.0,0.07530946764490416,,,100.0,0.44299686849943626,,,187.0,0.8284041440939458
fe0300515,63,1,1, i ain't got nothing to hide   ,"[nan, nan, 'i']","(nan, nan, 'i')",['i'],"('i',)",43.0,0.1904886534547576,"['got', 'nothing', 'to']","('got', 'nothing', 'to')","['got', 'nothing', 'to']","('got', 'nothing', 'to')",2.0,0.008859937369988725,,,295.0,1.3068407620733369,,,186.0,0.8239741754089515,i,i,224.0,0.9923129854387372,got,got,92.0,0.4075571190194814,nothing,nothing,28.0,0.12403912317984216,to,to,29.0,0.12846909186483652
