,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
i_ain't_constituentboundary,48,3.478,4.42,30,12.99,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_m_01_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag2_m_01_1', 'DCB_se3_ag3_m_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_02_3', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1']"
i_ain't_know,22,1.594,2.03,20,8.66,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag2_f_02_1', 'DCB_se2_ag4_f_01_1', 'DCB_se3_ag3_m_02_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1']"
i_ain't_got,18,1.304,1.66,15,6.49,"['ATL_se0_ag1_m_04_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag4_m_02_1', 'DCB_se3_ag3_f_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_01_2']"
you_ain't_constituentboundary,17,1.232,1.57,12,5.19,"['ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se2_ag1_f_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1']"
i_ain't_lie,17,1.232,1.57,7,3.03,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_02_2']"
it_ain't_constituentboundary,16,1.159,1.47,10,4.33,"['ATL_se0_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_01_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag2_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1']"
i_ain't_say,15,1.087,1.38,12,5.19,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1']"
constituentboundary_ain't_nothing,14,1.014,1.29,9,3.9,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_m_03_1', 'PRV_se0_ag2_f_01_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag4_m_02_1']"
you_ain't_nowhere,12,0.87,1.1,1,0.43,['DCB_se1_ag2_m_03_2']
constituentboundary_ain't_constituentboundary,11,0.797,1.01,6,2.6,"['ATL_se0_ag1_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
you_ain't_got,11,0.797,1.01,6,2.6,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_f_04_3']"
it_ain't_nothing,10,0.725,0.92,8,3.46,"['ATL_se0_ag1_f_02_1', 'DCA_se1_ag1_f_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1']"
i_ain't_going,9,0.652,0.83,6,2.6,"['ATL_se0_ag1_m_03_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
i_ain't_want,9,0.652,0.83,9,3.9,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCB_se1_ag1_f_01_1', 'DCB_se3_ag3_m_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag4_m_02_1']"
i_ain't_trying,9,0.652,0.83,8,3.46,"['ATL_se0_ag1_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
we_ain't_got,9,0.652,0.83,6,2.6,"['ATL_se0_ag2_m_03_1', 'DCB_se2_ag4_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1']"
i_ain't_get,8,0.58,0.74,7,3.03,"['DCB_se1_ag1_m_03_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_03_1', 'VLD_se0_ag2_m_01_1']"
i_ain't_have,8,0.58,0.74,6,2.6,"['ATL_se0_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se3_ag1_m_06_1', 'PRV_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag3_m_03_1']"
we_ain't_have,8,0.58,0.74,6,2.6,"['DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag4_f_01_2', 'DCB_se3_ag1_f_01_1', 'VLD_se0_ag4_f_01_1']"
i_ain't_seen,7,0.507,0.64,7,3.03,"['ATL_se0_ag1_f_01_1', 'DCB_se1_ag2_m_01_1', 'LES_se0_ag2_f_01_2', 'PRV_se0_ag3_m_02_2', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_03_1']"
i_ain't_like,7,0.507,0.64,6,2.6,"['ATL_se0_ag1_m_01_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_05_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_f_05_1']"
i_ain't_talking,7,0.507,0.64,2,0.87,"['ATL_se0_ag2_m_03_1', 'DCA_se1_ag4_m_02_1']"
they_ain't_constituentboundary,7,0.507,0.64,6,2.6,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag2_f_03_1']"
i_ain't_had,7,0.507,0.64,5,2.16,"['DCA_se1_ag4_m_02_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_f_01_1', 'PRV_se0_ag3_f_03_1']"
we_ain't_constituentboundary,7,0.507,0.64,5,2.16,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag3_m_02_1']"
i_ain't_do,7,0.507,0.64,7,3.03,"['ATL_se0_ag2_m_03_1', 'DCA_se3_ag1_f_04_1', 'DCB_se1_ag2_f_02_1', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'VLD_se0_ag4_m_02_1']"
i_ain't_go,6,0.435,0.55,6,2.6,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se2_ag1_f_05_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_03_1']"
i_ain't_doing,6,0.435,0.55,4,1.73,"['DCB_se1_ag1_f_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1']"
i_ain't_think,6,0.435,0.55,5,2.16,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'ROC_se0_ag2_f_02_1']"
you_ain't_seen,6,0.435,0.55,5,2.16,"['ATL_se0_ag2_m_01_1', 'DCA_se2_ag1_f_02_1', 'DCB_se1_ag2_m_01_1', 'PRV_se0_ag1_m_02_1', 'VLD_se0_ag2_m_01_1']"
you_ain't_see,6,0.435,0.55,4,1.73,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_f_05_1']"
constituentboundary_ain't_way,5,0.362,0.46,5,2.16,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag2_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_1']"
it_ain't_got,5,0.362,0.46,5,2.16,"['ATL_se0_ag1_m_04_2', 'DCA_se2_ag1_f_02_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag3_m_02_1']"
you_ain't_get,5,0.362,0.46,4,1.73,"['ATL_se0_ag1_m_04_2', 'DCB_se1_ag2_f_02_1', 'PRV_se0_ag1_m_02_1', 'VLD_se0_ag3_m_03_1']"
constituentboundary_ain't_got,5,0.362,0.46,5,2.16,"['ATL_se0_ag1_m_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1']"
i_ain't_worry,5,0.362,0.46,4,1.73,"['ATL_se0_ag1_m_04_1', 'DCA_se1_ag4_m_02_1', 'DCB_se2_ag4_f_05_1', 'PRV_se0_ag1_m_02_1']"
they_ain't_go,5,0.362,0.46,5,2.16,"['ATL_se0_ag2_f_01_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_m_05_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1']"
