File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
ATL_se0_ag1_f_01_1,59,1,1,You ain't gonna claim nothing else?,"[nan, nan, 'You']","(nan, nan, 'You')",['you'],"('you',)",38.0,2.7535154421493653,"['gonna', 'claim', 'nothing']","('gonna', 'claim', 'nothing')","['gonna', 'claim', 'nothing']","('gonna', 'claim', 'nothing')",1.0,0.07246093268814119,,,510.0,36.955075670952006,,,335.0,24.274412450527297,You,you,144.0,10.434374307092332,gonna,gonna,108.0,7.825780730319249,claim,claim,1.0,0.07246093268814119,nothing,nothing,16.0,1.159374923010259
ATL_se0_ag1_f_01_1,432,1,1,"Oh, okay. I- I see. I ain't did economics til","['I', 'see.', 'I']","('I', 'see.', 'I')","['i', 'see', 'i']","('i', 'see', 'i')",1.0,0.07246093268814119,"['did', 'economics', 'til']","('did', 'economics', 'til')","['did', 'economics', 'til']","('did', 'economics', 'til')",1.0,0.07246093268814119,I,i,30.0,2.1738279806442358,see.,see,8.0,0.5796874615051295,I,i,379.0,27.46269348880551,did,did,2.0,0.14492186537628238,economics,economics,1.0,0.07246093268814119,til,til,1.0,0.07246093268814119
ATL_se0_ag1_f_01_1,473,1,1,I ain't really go for all that cause I got a real weak stomach.,"[nan, nan, 'I']","(nan, nan, 'I')",['i'],"('i',)",124.0,8.985155653329508,"['really', 'go', 'for']","('really', 'go', 'for')","['really', 'go', 'for']","('really', 'go', 'for')",1.0,0.07246093268814119,,,510.0,36.955075670952006,,,335.0,24.274412450527297,I,i,379.0,27.46269348880551,really,really,30.0,2.1738279806442358,go,go,9.0,0.6521483941932708,for,for,9.0,0.6521483941932708
ATL_se0_ag1_f_01_1,542,1,1," Oh, that ain't even yours.","[nan, 'Oh,', 'that']","(nan, 'Oh,', 'that')","['oh', 'that']","('oh', 'that')",1.0,0.07246093268814119,"['even', 'yours.', nan]","('even', 'yours.', nan)","['even', 'yours']","('even', 'yours')",1.0,0.07246093268814119,,,510.0,36.955075670952006,"Oh,",oh,5.0,0.36230466344070594,that,that,27.0,1.9564451825798121,even,even,45.0,3.260741970966354,yours.,yours,2.0,0.14492186537628238,,,228.0,16.521092652896193
ATL_se0_ag1_f_01_1,607,1,1,"Ain't gonna lie, I was like, oh man I forgot how to say this word.","[nan, nan, nan]","(nan, nan, nan)",[],(),49.0,3.5505857017189184,"['gonna', 'lie,', 'I']","('gonna', 'lie,', 'I')","['gonna', 'lie', 'i']","('gonna', 'lie', 'i')",3.0,0.21738279806442357,,,510.0,36.955075670952006,,,335.0,24.274412450527297,,,49.0,3.5505857017189184,gonna,gonna,108.0,7.825780730319249,"lie,",lie,12.0,0.8695311922576943,I,i,16.0,1.159374923010259
ATL_se0_ag1_f_01_1,616,1,1,"I'm like, I ain't never seen that when I was in school RD-NAME-3.","[""I'm"", 'like,', 'I']","(""I'm"", 'like,', 'I')","[""i'm"", 'like', 'i']","(""i'm"", 'like', 'i')",1.0,0.07246093268814119,"['never', 'seen', 'that']","('never', 'seen', 'that')","['never', 'seen', 'that']","('never', 'seen', 'that')",1.0,0.07246093268814119,I'm,i'm,8.0,0.5796874615051295,"like,",like,31.0,2.246288913332377,I,i,379.0,27.46269348880551,never,never,48.0,3.478124769030777,seen,seen,8.0,0.5796874615051295,that,that,32.0,2.318749846020518
ATL_se0_ag1_f_01_1,776,1,1,"It's not- I'm not gonna say it ain't good parenting,","['gonna', 'say', 'it']","('gonna', 'say', 'it')","['gonna', 'say', 'it']","('gonna', 'say', 'it')",1.0,0.07246093268814119,"['good', 'parenting,', nan]","('good', 'parenting,', nan)","['good', 'parenting']","('good', 'parenting')",1.0,0.07246093268814119,gonna,gonna,1.0,0.07246093268814119,say,say,7.0,0.5072265288169884,it,it,88.0,6.376562076556425,good,good,1.0,0.07246093268814119,"parenting,",parenting,1.0,0.07246093268814119,,,228.0,16.521092652896193
ATL_se0_ag1_f_01_1,857,1,1,I ain't gonna lie. I knew a couple of little notes on the recorder too. I was turnt for a second and then it just started getting advanced.,"[nan, nan, 'I']","(nan, nan, 'I')",['i'],"('i',)",124.0,8.985155653329508,"['gonna', 'lie.', 'I']","('gonna', 'lie.', 'I')","['gonna', 'lie', 'i']","('gonna', 'lie', 'i')",3.0,0.21738279806442357,,,510.0,36.955075670952006,,,335.0,24.274412450527297,I,i,379.0,27.46269348880551,gonna,gonna,108.0,7.825780730319249,lie.,lie,12.0,0.8695311922576943,I,i,16.0,1.159374923010259
ATL_se0_ag1_f_01_1,891,1,1,"trying, I'm like, maybe he ain't gonna do","['like,', 'maybe', 'he']","('like,', 'maybe', 'he')","['like', 'maybe', 'he']","('like', 'maybe', 'he')",1.0,0.07246093268814119,"['gonna', 'do', nan]","('gonna', 'do', nan)","['gonna', 'do']","('gonna', 'do')",1.0,0.07246093268814119,"like,",like,21.0,1.5216795864509651,maybe,maybe,1.0,0.07246093268814119,he,he,44.0,3.1882810382782125,gonna,gonna,108.0,7.825780730319249,do,do,13.0,0.9419921249458354,,,228.0,16.521092652896193
ATL_se0_ag1_f_01_1,984,1,1,"You know they gonna say something about that, but it ain't that big of a deal.","['that,', 'but', 'it']","('that,', 'but', 'it')","['that', 'but', 'it']","('that', 'but', 'it')",1.0,0.07246093268814119,"['that', 'big', 'of']","('that', 'big', 'of')","['that', 'big', 'of']","('that', 'big', 'of')",1.0,0.07246093268814119,"that,",that,11.0,0.7970702595695531,but,but,40.0,2.8984373075256475,it,it,88.0,6.376562076556425,that,that,8.0,0.5796874615051295,big,big,1.0,0.07246093268814119,of,of,9.0,0.6521483941932708
