File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
sw_4577,44,1,1,they found out i could sing  and so they got me up there and i sang on the stage with them  on the weekends and  just songs like Blue Moon and Ain't Misbehavin' and and songs like that,"['Blue', 'Moon', 'and']","('Blue', 'Moon', 'and')","['blue', 'moon', 'and']","('blue', 'moon', 'and')",1.0,0.030584949391084245,"[""Misbehavin'"", 'and', 'and']","(""Misbehavin'"", 'and', 'and')","[""misbehavin'"", 'and', 'and']","(""misbehavin'"", 'and', 'and')",1.0,0.030584949391084245,Blue,blue,1.0,0.030584949391084245,Moon,moon,1.0,0.030584949391084245,and,and,1.0,0.030584949391084245,Misbehavin',misbehavin',1.0,0.030584949391084245,and,and,1.0,0.030584949391084245,and,and,1.0,0.030584949391084245
sw2044B-ms98-a,59,1,1,i was gonna say there've been several times when i know they had ice storms down in Dallas uh that we would be up here trying to call and it we'd figure out after about the first hour that there ain't nobody at work ,"['hour', 'that', 'there']","('hour', 'that', 'there')","['hour', 'that', 'there']","('hour', 'that', 'there')",1.0,0.030584949391084245,"['nobody', 'at', 'work']","('nobody', 'at', 'work')","['nobody', 'at', 'work']","('nobody', 'at', 'work')",1.0,0.030584949391084245,hour,hour,1.0,0.030584949391084245,that,that,2.0,0.06116989878216849,there,there,4.0,0.12233979756433698,nobody,nobody,2.0,0.06116989878216849,at,at,2.0,0.06116989878216849,work,work,1.0,0.030584949391084245
sw2136A-ms98-a,76,1,1,and th- that's the way i think they should do it that way it is random you know it's random because_1 some people is already gone two three times and some people ain't went at all,"['and', 'some', 'people']","('and', 'some', 'people')","['and', 'some', 'people']","('and', 'some', 'people')",1.0,0.030584949391084245,"['went', 'at', 'all']","('went', 'at', 'all')","['went', 'at', 'all']","('went', 'at', 'all')",1.0,0.030584949391084245,and,and,2.0,0.06116989878216849,some,some,1.0,0.030584949391084245,people,people,1.0,0.030584949391084245,went,went,1.0,0.030584949391084245,at,at,2.0,0.06116989878216849,all,all,1.0,0.030584949391084245
sw2277A-ms98-a,80,1,1,well if it ain't uh well you know uh,"['well', 'if', 'it']","('well', 'if', 'it')","['well', 'if', 'it']","('well', 'if', 'it')",1.0,0.030584949391084245,"['uh', 'well', 'you']","('uh', 'well', 'you')","['uh', 'well', 'you']","('uh', 'well', 'you')",1.0,0.030584949391084245,well,well,2.0,0.06116989878216849,if,if,3.0,0.09175484817325272,it,it,7.0,0.2140946457375897,uh,uh,1.0,0.030584949391084245,well,well,1.0,0.030584949391084245,you,you,1.0,0.030584949391084245
sw2277B-ms98-a,95,1,1,you know huh-uh  and that ain't right neither,"['huh-uh', 'and', 'that']","('huh-uh', 'and', 'that')","['huh-uh', 'and', 'that']","('huh-uh', 'and', 'that')",1.0,0.030584949391084245,"['right', 'neither', nan]","('right', 'neither', nan)","['right', 'neither']","('right', 'neither')",1.0,0.030584949391084245,huh-uh,huhuh,2.0,0.06116989878216849,and,and,1.0,0.030584949391084245,that,that,4.0,0.12233979756433698,right,right,2.0,0.06116989878216849,neither,neither,1.0,0.030584949391084245,,,7.0,0.2140946457375897
sw2280A-ms98-a,58,1,1,there's your tornados that's right and so they're predicting this weekend probably drop something like thirty degrees i say huh-uh see that ain't right,"['huh-uh', 'see', 'that']","('huh-uh', 'see', 'that')","['huh-uh', 'see', 'that']","('huh-uh', 'see', 'that')",1.0,0.030584949391084245,"['right', nan, nan]","('right', nan, nan)",['right'],"('right',)",1.0,0.030584949391084245,huh-uh,huhuh,2.0,0.06116989878216849,see,see,1.0,0.030584949391084245,that,that,4.0,0.12233979756433698,right,right,2.0,0.06116989878216849,,,4.0,0.12233979756433698,,,7.0,0.2140946457375897
sw2410B-ms98-a,37,1,1,you know it's supposed to be all for one and one for all but that ain't how it works baby i mean that's you know they're not going to do something unless they've got incentives and they don't have any incentives to work,"['all', 'but', 'that']","('all', 'but', 'that')","['all', 'but', 'that']","('all', 'but', 'that')",1.0,0.030584949391084245,"['how', 'it', 'works']","('how', 'it', 'works')","['how', 'it', 'works']","('how', 'it', 'works')",1.0,0.030584949391084245,all,all,1.0,0.030584949391084245,but,but,3.0,0.09175484817325272,that,that,4.0,0.12233979756433698,how,how,1.0,0.030584949391084245,it,it,3.0,0.09175484817325272,works,works,1.0,0.030584949391084245
sw2521B-ms98-a,45,1,1,i mean it's tha- i mean you know that's the way i felt about it but i tell you what if New Orleans ever gets a quarterback ain't nobody going to beat us ,"['gets', 'a', 'quarterback']","('gets', 'a', 'quarterback')","['gets', 'a', 'quarterback']","('gets', 'a', 'quarterback')",1.0,0.030584949391084245,"['nobody', 'going', 'to']","('nobody', 'going', 'to')","['nobody', 'going', 'to']","('nobody', 'going', 'to')",1.0,0.030584949391084245,gets,gets,1.0,0.030584949391084245,a,a,1.0,0.030584949391084245,quarterback,quarterback,1.0,0.030584949391084245,nobody,nobody,2.0,0.06116989878216849,going,going,1.0,0.030584949391084245,to,to,3.0,0.09175484817325272
sw2536A-ms98-a,100,1,1,yeah i just you know i ain't got time to me- mess around with them,"['you', 'know', 'i']","('you', 'know', 'i')","['you', 'know', 'i']","('you', 'know', 'i')",1.0,0.030584949391084245,"['got', 'time', 'to']","('got', 'time', 'to')","['got', 'time', 'to']","('got', 'time', 'to')",1.0,0.030584949391084245,you,you,1.0,0.030584949391084245,know,know,1.0,0.030584949391084245,i,i,1.0,0.030584949391084245,got,got,2.0,0.06116989878216849,time,time,1.0,0.030584949391084245,to,to,3.0,0.09175484817325272
sw2575A-ms98-a,46,1,1,um but i had lived in my own little bubble up until that time and and after traveling around the world a few times i realized that things ain't the way they seem,"['realized', 'that', 'things']","('realized', 'that', 'things')","['realized', 'that', 'things']","('realized', 'that', 'things')",1.0,0.030584949391084245,"['the', 'way', 'they']","('the', 'way', 'they')","['the', 'way', 'they']","('the', 'way', 'they')",1.0,0.030584949391084245,realized,realized,1.0,0.030584949391084245,that,that,2.0,0.06116989878216849,things,things,1.0,0.030584949391084245,the,the,1.0,0.030584949391084245,way,way,1.0,0.030584949391084245,they,they,1.0,0.030584949391084245
