File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
fe0300004,78,A,160.08,162.81,2.7299999999999898,i know i'm li- is this the first time you're done this ,1.0
fe0300004,181,A,401.28,403.26,1.9800000000000182,but means not a lot of work getting done ,1.0
fe0300004,182,B,401.67,406.19,4.519999999999982,and so that may not yeah may not be anything getting done ,1.0
fe0300005,12,A,85.94,89.0,3.0600000000000023,well i've i've done it professionally i was a baker for a while ,1.0
fe0300011,107,B,229.73,233.35,3.6200000000000045,i mean for me like i'm done i'm done teaching at two thirty and i could go home ,2.0
fe0300012,12,A,36.14,37.65,1.509999999999998,um have you done these calls before ,1.0
fe0300012,146,B,276.17,281.39,5.21999999999997,i you know   one thing about this phone call yesterday that i did know it's like   what do you do when you're done ,1.0
fe0300014,183,B,527.67,537.95,10.280000000000086,with mid terms and stuff like that where you can't you've done a semester worth of work and you're gonna mess it up because you have a cold no   sometimes you have to ,1.0
fe0300015,118,B,235.57,237.09,1.5200000000000102,i've done i used to live in vermont ,1.0
fe0300016,25,A,69.37,74.11,4.739999999999995,but it's probably better to just blow your nose a lot and get it out and then  you're done ,1.0
fe0300016,167,B,550.86,553.21,2.3500000000000227,does that mean we're done talking ,1.0
fe0300017,18,A,59.13,66.66,7.529999999999994,so uh actually i was going to um get a flu shot this season it would be my first i haven't actually never done this before but i know a lot of people do ,1.0
fe0300021,8,B,9.39,12.2,2.8099999999999987,good is this the first time that you've done this or ,1.0
fe0300021,50,B,131.95,134.99,3.0400000000000205,second year so you're almost done ,1.0
fe0300025,241,B,476.06,483.87,7.810000000000002,out you know he says and then all the second year students come back who've done all this and they're all you know the hair's gone there they've all got ties on you know an- ,1.0
fe0300026,102,A,391.12,397.21,6.089999999999975,but once i got everything done it miraculously subsided  ,1.0
fe0300026,103,B,395.86,401.03,5.169999999999959, of course when everything's done it's like all right  ,1.0
fe0300028,85,A,274.84,288.77,13.930000000000007,all this stuff i i just you know th- i feel that when you when i do these sorts of things without it's you know just preventative maintenance basically for the for my body and it it's really done a good job in terms of keeping me free from illness ,1.0
fe0300029,130,B,472.84,474.79,1.9500000000000455,or not i haven't done one of these before ,1.0
fe0300029,132,B,475.5,477.34,1.839999999999975,i haven't done one of these before ,1.0
fe0300031,222,A,405.26,407.47,2.2100000000000364,i've done i've taken some straight linguistics classes ,1.0
fe0300032,7,B,11.8,15.98,4.18, okay  so have you done this before ,1.0
fe0300036,8,A,10.77,19.29,8.52, right um so do you agree that a cold would le- would be qu- be done quicker if you go to the doctor or no  ,1.0
fe0300036,92,B,304.77,314.69,9.920000000000016,so i i don't know i mean i don't think medicine in itself is such a developed science i mean they don't really have uh very good models i mean the drugs that they give you when you fall sick it's just because they've done ,1.0
