File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
fe0300492,172,1,1,and i said man i be wondering if i'm a ,"['said', 'man', 'i']","('said', 'man', 'i')","['said', 'man', 'i']","('said', 'man', 'i')",1.0,0.004429968684994363,"['wondering', 'if', ""i'm""]","('wondering', 'if', ""i'm"")","['wondering', 'if', ""i'm""]","('wondering', 'if', ""i'm"")",1.0,0.004429968684994363,said,said,2.0,0.008859937369988725,man,man,1.0,0.004429968684994363,i,i,23.0,0.10188927975487035,wondering,wondering,2.0,0.008859937369988725,if,if,1.0,0.004429968684994363,i'm,i'm,2.0,0.008859937369988725
fe0300505,121,1,1,ten dollars a pop be doing good ,"['dollars', 'a', 'pop']","('dollars', 'a', 'pop')","['dollars', 'a', 'pop']","('dollars', 'a', 'pop')",1.0,0.004429968684994363,"['doing', 'good', nan]","('doing', 'good', nan)","['doing', 'good']","('doing', 'good')",1.0,0.004429968684994363,dollars,dollars,1.0,0.004429968684994363,a,a,1.0,0.004429968684994363,pop,pop,1.0,0.004429968684994363,doing,doing,10.0,0.04429968684994363,good,good,1.0,0.004429968684994363,,,28.0,0.12403912317984216
fe0300558,42,1,1,uh sometimes the subjects be really ,"['sometimes', 'the', 'subjects']","('sometimes', 'the', 'subjects')","['sometimes', 'the', 'subjects']","('sometimes', 'the', 'subjects')",1.0,0.004429968684994363,"['really', nan, nan]","('really', nan, nan)",['really'],"('really',)",1.0,0.004429968684994363,sometimes,sometimes,2.0,0.008859937369988725,the,the,4.0,0.01771987473997745,subjects,subjects,1.0,0.004429968684994363,really,really,4.0,0.01771987473997745,,,15.0,0.06644953027491544,,,28.0,0.12403912317984216
fe0300598,72,1,1,native americans or italian or anything like that cause i really don't know anything about my background so therefore it be kind of neat ,"['so', 'therefore', 'it']","('so', 'therefore', 'it')","['so', 'therefore', 'it']","('so', 'therefore', 'it')",1.0,0.004429968684994363,"['kind', 'of', 'neat']","('kind', 'of', 'neat')","['kind', 'of', 'neat']","('kind', 'of', 'neat')",1.0,0.004429968684994363,so,so,2.0,0.008859937369988725,therefore,therefore,1.0,0.004429968684994363,it,it,11.0,0.048729655534937986,kind,kind,2.0,0.008859937369988725,of,of,2.0,0.008859937369988725,neat,neat,1.0,0.004429968684994363
fe0300693,156,1,1,in the cell phone business sometimes it be kind of scary you wish that you actually knew who you were selling them too ,"['business', 'sometimes', 'it']","('business', 'sometimes', 'it')","['business', 'sometimes', 'it']","('business', 'sometimes', 'it')",1.0,0.004429968684994363,"['kind', 'of', 'scary']","('kind', 'of', 'scary')","['kind', 'of', 'scary']","('kind', 'of', 'scary')",1.0,0.004429968684994363,business,business,1.0,0.004429968684994363,sometimes,sometimes,4.0,0.01771987473997745,it,it,11.0,0.048729655534937986,kind,kind,2.0,0.008859937369988725,of,of,2.0,0.008859937369988725,scary,scary,1.0,0.004429968684994363
fe0300860,125,1,1,you know they something wrong with it i don't know sometime people be doing drugs and they think oh i'm clean then have a kid i don't know it's a long story ,"['know', 'sometime', 'people']","('know', 'sometime', 'people')","['know', 'sometime', 'people']","('know', 'sometime', 'people')",1.0,0.004429968684994363,"['doing', 'drugs', 'and']","('doing', 'drugs', 'and')","['doing', 'drugs', 'and']","('doing', 'drugs', 'and')",1.0,0.004429968684994363,know,know,5.0,0.022149843424971814,sometime,sometime,2.0,0.008859937369988725,people,people,9.0,0.03986971816494926,doing,doing,10.0,0.04429968684994363,drugs,drugs,1.0,0.004429968684994363,and,and,5.0,0.022149843424971814
fe0300967,191,1,1,running the airline and then you have the people down there that are doing the job they be making ,"['the', 'job', 'they']","('the', 'job', 'they')","['the', 'job', 'they']","('the', 'job', 'they')",1.0,0.004429968684994363,"['making', nan, nan]","('making', nan, nan)",['making'],"('making',)",1.0,0.004429968684994363,the,the,9.0,0.03986971816494926,job,job,1.0,0.004429968684994363,they,they,51.0,0.22592840293471247,making,making,1.0,0.004429968684994363,,,15.0,0.06644953027491544,,,28.0,0.12403912317984216
fe0301323,31,1,1,i ye- yes and usually the person who make the lesser amount it seem like they be the one to do the hardest work and also fifteen cents will put you in a different bracket you're paying more tax on it ,"['seem', 'like', 'they']","('seem', 'like', 'they')","['seem', 'like', 'they']","('seem', 'like', 'they')",1.0,0.004429968684994363,"['the', 'one', 'to']","('the', 'one', 'to')","['the', 'one', 'to']","('the', 'one', 'to')",1.0,0.004429968684994363,seem,seem,1.0,0.004429968684994363,like,like,4.0,0.01771987473997745,they,they,51.0,0.22592840293471247,the,the,3.0,0.013289906054983088,one,one,1.0,0.004429968684994363,to,to,4.0,0.01771987473997745
fe0301431,146,1,1,right i i agree with that because uh uh regardless of how people be thinking ,"['of', 'how', 'people']","('of', 'how', 'people')","['of', 'how', 'people']","('of', 'how', 'people')",1.0,0.004429968684994363,"['thinking', nan, nan]","('thinking', nan, nan)",['thinking'],"('thinking',)",1.0,0.004429968684994363,of,of,3.0,0.013289906054983088,how,how,2.0,0.008859937369988725,people,people,9.0,0.03986971816494926,thinking,thinking,1.0,0.004429968684994363,,,15.0,0.06644953027491544,,,28.0,0.12403912317984216
fe0301485,67,1,1,see jets flying around all the time and we are not too far from a military base either so there's always something going on  with them flying their helicopters and stuff i don't know what they be doing  ,"['know', 'what', 'they']","('know', 'what', 'they')","['know', 'what', 'they']","('know', 'what', 'they')",1.0,0.004429968684994363,"['doing', nan, nan]","('doing', nan, nan)",['doing'],"('doing',)",2.0,0.008859937369988725,know,know,5.0,0.022149843424971814,what,what,4.0,0.01771987473997745,they,they,51.0,0.22592840293471247,doing,doing,10.0,0.04429968684994363,,,15.0,0.06644953027491544,,,28.0,0.12403912317984216
fe0301544,66,1,1,which was yes which was a bummer 'cause usually they be out the week of ,"[""'cause"", 'usually', 'they']","(""'cause"", 'usually', 'they')","[""'cause"", 'usually', 'they']","(""'cause"", 'usually', 'they')",1.0,0.004429968684994363,"['out', 'the', 'week']","('out', 'the', 'week')","['out', 'the', 'week']","('out', 'the', 'week')",1.0,0.004429968684994363,'cause,'cause,4.0,0.01771987473997745,usually,usually,1.0,0.004429968684994363,they,they,51.0,0.22592840293471247,out,out,1.0,0.004429968684994363,the,the,8.0,0.0354397494799549,week,week,1.0,0.004429968684994363
fe0301997,24,3,1,that's that's that's what how i feel about it because it takes everybody in this world to to make it you know and if it wouldn't be for the stockholders they wouldn't have a job all the ceos'd be out cutting grass or whatever they be doing ,"['or', 'whatever', 'they']","('or', 'whatever', 'they')","['or', 'whatever', 'they']","('or', 'whatever', 'they')",1.0,0.004429968684994363,"['doing', nan, nan]","('doing', nan, nan)",['doing'],"('doing',)",2.0,0.008859937369988725,or,or,1.0,0.004429968684994363,whatever,whatever,1.0,0.004429968684994363,they,they,51.0,0.22592840293471247,doing,doing,10.0,0.04429968684994363,,,15.0,0.06644953027491544,,,28.0,0.12403912317984216
fe0302048,152,1,1,oh okay so you know the whole schedule you got it down pat so you be watching ball all day long huh ,"['pat', 'so', 'you']","('pat', 'so', 'you')","['pat', 'so', 'you']","('pat', 'so', 'you')",1.0,0.004429968684994363,"['watching', 'ball', 'all']","('watching', 'ball', 'all')","['watching', 'ball', 'all']","('watching', 'ball', 'all')",1.0,0.004429968684994363,pat,pat,1.0,0.004429968684994363,so,so,4.0,0.01771987473997745,you,you,16.0,0.0708794989599098,watching,watching,5.0,0.022149843424971814,ball,ball,1.0,0.004429968684994363,all,all,3.0,0.013289906054983088
fe0302048,225,2,2,no he he he's not coaching everything on the ba- when he be on the basketball when he be on the coach he's a coach and everything ,"['ba-', 'when', 'he']","('ba-', 'when', 'he')","['ba-', 'when', 'he']","('ba-', 'when', 'he')",1.0,0.004429968684994363,"['on', 'the', 'basketball']","('on', 'the', 'basketball')","['on', 'the', 'basketball']","('on', 'the', 'basketball')",1.0,0.004429968684994363,ba-,ba,1.0,0.004429968684994363,when,when,9.0,0.03986971816494926,he,he,4.0,0.01771987473997745,on,on,5.0,0.022149843424971814,the,the,8.0,0.0354397494799549,basketball,basketball,1.0,0.004429968684994363
fe0302048,225,2,2,no he he he's not coaching everything on the ba- when he be on the basketball when he be on the coach he's a coach and everything ,"['basketball', 'when', 'he']","('basketball', 'when', 'he')","['basketball', 'when', 'he']","('basketball', 'when', 'he')",1.0,0.004429968684994363,"['on', 'the', 'coach']","('on', 'the', 'coach')","['on', 'the', 'coach']","('on', 'the', 'coach')",1.0,0.004429968684994363,basketball,basketball,1.0,0.004429968684994363,when,when,9.0,0.03986971816494926,he,he,4.0,0.01771987473997745,on,on,5.0,0.022149843424971814,the,the,8.0,0.0354397494799549,coach,coach,1.0,0.004429968684994363
fe0302163,128,1,1,y- yeah uncle bud and it's really it's really good they give you a uh i mean they you be really full when you leave out of there they give you like uh a bowl of beans before they even bring your main course ,"['mean', 'they', 'you']","('mean', 'they', 'you')","['mean', 'they', 'you']","('mean', 'they', 'you')",1.0,0.004429968684994363,"['really', 'full', 'when']","('really', 'full', 'when')","['really', 'full', 'when']","('really', 'full', 'when')",1.0,0.004429968684994363,mean,mean,1.0,0.004429968684994363,they,they,3.0,0.013289906054983088,you,you,16.0,0.0708794989599098,really,really,4.0,0.01771987473997745,full,full,1.0,0.004429968684994363,when,when,2.0,0.008859937369988725
fe0302192,69,2,2,yeah yeah i seen on t.v. once where they show what people be doing when they be cooking and stuff and that makes you leary about eating in these restaurants ,"['doing', 'when', 'they']","('doing', 'when', 'they')","['doing', 'when', 'they']","('doing', 'when', 'they')",1.0,0.004429968684994363,"['cooking', 'and', 'stuff']","('cooking', 'and', 'stuff')","['cooking', 'and', 'stuff']","('cooking', 'and', 'stuff')",1.0,0.004429968684994363,doing,doing,2.0,0.008859937369988725,when,when,9.0,0.03986971816494926,they,they,51.0,0.22592840293471247,cooking,cooking,1.0,0.004429968684994363,and,and,6.0,0.026579812109966176,stuff,stuff,2.0,0.008859937369988725
fe0302192,69,2,2,yeah yeah i seen on t.v. once where they show what people be doing when they be cooking and stuff and that makes you leary about eating in these restaurants ,"['show', 'what', 'people']","('show', 'what', 'people')","['show', 'what', 'people']","('show', 'what', 'people')",1.0,0.004429968684994363,"['doing', 'when', 'they']","('doing', 'when', 'they')","['doing', 'when', 'they']","('doing', 'when', 'they')",1.0,0.004429968684994363,show,show,1.0,0.004429968684994363,what,what,4.0,0.01771987473997745,people,people,9.0,0.03986971816494926,doing,doing,10.0,0.04429968684994363,when,when,1.0,0.004429968684994363,they,they,4.0,0.01771987473997745
fe0302283,204,2,2,i be going i be going down that way the weekend ,"[nan, nan, 'i']","(nan, nan, 'i')",['i'],"('i',)",3.0,0.013289906054983088,"['going', 'i', 'be']","('going', 'i', 'be')","['going', 'i', 'be']","('going', 'i', 'be')",1.0,0.004429968684994363,,,30.0,0.1328990605498309,,,11.0,0.048729655534937986,i,i,23.0,0.10188927975487035,going,going,7.0,0.03100978079496054,i,i,3.0,0.013289906054983088,be,be,1.0,0.004429968684994363
fe0302283,204,2,2,i be going i be going down that way the weekend ,"['be', 'going', 'i']","('be', 'going', 'i')","['be', 'going', 'i']","('be', 'going', 'i')",1.0,0.004429968684994363,"['going', 'down', 'that']","('going', 'down', 'that')","['going', 'down', 'that']","('going', 'down', 'that')",2.0,0.008859937369988725,be,be,1.0,0.004429968684994363,going,going,1.0,0.004429968684994363,i,i,23.0,0.10188927975487035,going,going,7.0,0.03100978079496054,down,down,2.0,0.008859937369988725,that,that,4.0,0.01771987473997745
fe0302283,208,1,1, yeah i be going down that way  ,"[nan, 'yeah', 'i']","(nan, 'yeah', 'i')","['yeah', 'i']","('yeah', 'i')",2.0,0.008859937369988725,"['going', 'down', 'that']","('going', 'down', 'that')","['going', 'down', 'that']","('going', 'down', 'that')",2.0,0.008859937369988725,,,30.0,0.1328990605498309,yeah,yeah,5.0,0.022149843424971814,i,i,23.0,0.10188927975487035,going,going,7.0,0.03100978079496054,down,down,2.0,0.008859937369988725,that,that,4.0,0.01771987473997745
fe0302344,16,1,1,well i um  sometime when i be around lots of people that drink a lot you know they tend to start acting crazy ,"['sometime', 'when', 'i']","('sometime', 'when', 'i')","['sometime', 'when', 'i']","('sometime', 'when', 'i')",1.0,0.004429968684994363,"['around', 'lots', 'of']","('around', 'lots', 'of')","['around', 'lots', 'of']","('around', 'lots', 'of')",1.0,0.004429968684994363,sometime,sometime,1.0,0.004429968684994363,when,when,9.0,0.03986971816494926,i,i,23.0,0.10188927975487035,around,around,2.0,0.008859937369988725,lots,lots,1.0,0.004429968684994363,of,of,1.0,0.004429968684994363
fe0302344,98,1,1,even they be like they all had a stroke or somebody'll hit the wrong nerve in your head and you come out all this way and that a way ,"[nan, 'even', 'they']","(nan, 'even', 'they')","['even', 'they']","('even', 'they')",1.0,0.004429968684994363,"['like', 'they', 'all']","('like', 'they', 'all')","['like', 'they', 'all']","('like', 'they', 'all')",1.0,0.004429968684994363,,,30.0,0.1328990605498309,even,even,1.0,0.004429968684994363,they,they,51.0,0.22592840293471247,like,like,15.0,0.06644953027491544,they,they,2.0,0.008859937369988725,all,all,3.0,0.013289906054983088
fe0302344,110,1,1,know like act the fool or something when they be drinking a lot  ,"['something', 'when', 'they']","('something', 'when', 'they')","['something', 'when', 'they']","('something', 'when', 'they')",1.0,0.004429968684994363,"['drinking', 'a', 'lot']","('drinking', 'a', 'lot')","['drinking', 'a', 'lot']","('drinking', 'a', 'lot')",1.0,0.004429968684994363,something,something,1.0,0.004429968684994363,when,when,9.0,0.03986971816494926,they,they,51.0,0.22592840293471247,drinking,drinking,1.0,0.004429968684994363,a,a,3.0,0.013289906054983088,lot,lot,1.0,0.004429968684994363
fe0302805,34,1,1, i i really don't be paying attention to most things like the scores and everything i just pay attention what they do and sometimes i like the girls from um ,"['i', 'really', ""don't""]","('i', 'really', ""don't"")","['i', 'really', ""don't""]","('i', 'really', ""don't"")",2.0,0.008859937369988725,"['paying', 'attention', 'to']","('paying', 'attention', 'to')","['paying', 'attention', 'to']","('paying', 'attention', 'to')",1.0,0.004429968684994363,i,i,7.0,0.03100978079496054,really,really,2.0,0.008859937369988725,don't,don't,10.0,0.04429968684994363,paying,paying,1.0,0.004429968684994363,attention,attention,1.0,0.004429968684994363,to,to,4.0,0.01771987473997745
fe0302848,22,1,1,i i i be busy doing a lot of things that you know usually most guys  uh get tied up in it  which you know i i'm a guy myself but i don't i guess they're just ,"['i', 'i', 'i']","('i', 'i', 'i')","['i', 'i', 'i']","('i', 'i', 'i')",1.0,0.004429968684994363,"['busy', 'doing', 'a']","('busy', 'doing', 'a')","['busy', 'doing', 'a']","('busy', 'doing', 'a')",1.0,0.004429968684994363,i,i,7.0,0.03100978079496054,i,i,11.0,0.048729655534937986,i,i,23.0,0.10188927975487035,busy,busy,1.0,0.004429968684994363,doing,doing,1.0,0.004429968684994363,a,a,4.0,0.01771987473997745
fe0302848,35,1,1,oh yes uh this particular person on this team and um uh they made a mistake and all and you know but i don't be really keeping up with it  but they they live and breathe this stuff you know ,"['but', 'i', ""don't""]","('but', 'i', ""don't"")","['but', 'i', ""don't""]","('but', 'i', ""don't"")",1.0,0.004429968684994363,"['really', 'keeping', 'up']","('really', 'keeping', 'up')","['really', 'keeping', 'up']","('really', 'keeping', 'up')",1.0,0.004429968684994363,but,but,1.0,0.004429968684994363,i,i,11.0,0.048729655534937986,don't,don't,10.0,0.04429968684994363,really,really,4.0,0.01771987473997745,keeping,keeping,1.0,0.004429968684994363,up,up,1.0,0.004429968684994363
fe0303030,35,2,1,back and we'd be back and forth that at each other people come over they think we're a couple think we be arguing  think we argue ,"['couple', 'think', 'we']","('couple', 'think', 'we')","['couple', 'think', 'we']","('couple', 'think', 'we')",1.0,0.004429968684994363,"['arguing', 'think', 'we']","('arguing', 'think', 'we')","['arguing', 'think', 'we']","('arguing', 'think', 'we')",1.0,0.004429968684994363,couple,couple,1.0,0.004429968684994363,think,think,1.0,0.004429968684994363,we,we,2.0,0.008859937369988725,arguing,arguing,2.0,0.008859937369988725,think,think,1.0,0.004429968684994363,we,we,1.0,0.004429968684994363
fe0303247,86,1,1, player he'll go from one to another you know but he still he be in love with everyone he meets so what can  ,"['he', 'still', 'he']","('he', 'still', 'he')","['he', 'still', 'he']","('he', 'still', 'he')",1.0,0.004429968684994363,"['in', 'love', 'with']","('in', 'love', 'with')","['in', 'love', 'with']","('in', 'love', 'with')",1.0,0.004429968684994363,he,he,1.0,0.004429968684994363,still,still,1.0,0.004429968684994363,he,he,4.0,0.01771987473997745,in,in,3.0,0.013289906054983088,love,love,1.0,0.004429968684994363,with,with,1.0,0.004429968684994363
fe0303253,108,1,1,like when you living when you're live with a girl they they become so attached to you where you're like you know i'm going out and they be like no i don't want you to go out and then but i don't want to argue with you about not going out you know but they ,"['out', 'and', 'they']","('out', 'and', 'they')","['out', 'and', 'they']","('out', 'and', 'they')",2.0,0.008859937369988725,"['like', 'no', 'i']","('like', 'no', 'i')","['like', 'no', 'i']","('like', 'no', 'i')",1.0,0.004429968684994363,out,out,3.0,0.013289906054983088,and,and,14.0,0.06201956158992108,they,they,51.0,0.22592840293471247,like,like,15.0,0.06644953027491544,no,no,1.0,0.004429968684994363,i,i,1.0,0.004429968684994363
fe0303435,167,1,1,you see you understand what i'm saying it's lust in there that's all it is and then once that lust dies down then all of a sudden they be like uh ,"['a', 'sudden', 'they']","('a', 'sudden', 'they')","['a', 'sudden', 'they']","('a', 'sudden', 'they')",1.0,0.004429968684994363,"['like', 'uh', nan]","('like', 'uh', nan)","['like', 'uh']","('like', 'uh')",1.0,0.004429968684994363,a,a,1.0,0.004429968684994363,sudden,sudden,1.0,0.004429968684994363,they,they,51.0,0.22592840293471247,like,like,15.0,0.06644953027491544,uh,uh,1.0,0.004429968684994363,,,28.0,0.12403912317984216
fe0303794,168,1,1,na- at least you know you be carrying the same diaper bag for a while and then you'll get rid of it an- ,"['you', 'know', 'you']","('you', 'know', 'you')","['you', 'know', 'you']","('you', 'know', 'you')",1.0,0.004429968684994363,"['carrying', 'the', 'same']","('carrying', 'the', 'same')","['carrying', 'the', 'same']","('carrying', 'the', 'same')",1.0,0.004429968684994363,you,you,4.0,0.01771987473997745,know,know,3.0,0.013289906054983088,you,you,16.0,0.0708794989599098,carrying,carrying,1.0,0.004429968684994363,the,the,8.0,0.0354397494799549,same,same,1.0,0.004429968684994363
