File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal
ATL_se0_ag1_f_01_1,87,ATL_int_01,96.7672,100.1664,3.3992,"if you didn't know already, my name is RD-NAME-3 and I will be,",1,0,1.834382958,1.75,7.0
ATL_se0_ag1_f_01_1,155,ATL_se0_ag1_f_01,185.7506,186.7555,1.0049,It might be twenty-,1,0,9.698495056,9.65,8.25
ATL_se0_ag1_f_01_1,164,ATL_se0_ag1_f_01,192.8547,195.102,2.2473,It wasn't as big as I thought it would be.,1,0,8.633984161,8.6,6.0
ATL_se0_ag1_f_01_1,394,ATL_se0_ag1_f_01,479.1324,480.9662,1.8338,It used to be so hot.,1,0,19.07620989,18.44,20.5
ATL_se0_ag1_f_01_1,479,ATL_int_01,586.6336,589.9149,3.2813,"You gotta be a certain type of individual to be a doctor, man.",2,0,9.255003741,8.24,9.0
ATL_se0_ag1_f_01_1,480,ATL_se0_ag1_f_01,590.2827,594.1122,3.8295,Yeah. And I had- My major was gonna be nursing.,1,0,12.08579911,11.91,5.0
ATL_se0_ag1_f_01_1,510,ATL_int_01,632.669,635.0571,2.3881,I knew it was gonna be math. The way you talk about m-,1,0,16.80942623,16.5,21.0
ATL_se0_ag1_f_01_1,554,ATL_int_01,707.8635,710.0301,2.1666,The two-thousands finna be considered old.,1,0,12.7903729,11.82,14.0
ATL_se0_ag1_f_01_1,564,ATL_se0_ag1_f_01,721.2982,722.545,1.2468,is finna be twenty-one.,1,0,10.4293244,9.47,5.0
ATL_se0_ag1_f_01_1,566,ATL_se0_ag1_f_01,724.8455,727.3975,2.552,RD-NAME-3 is about to be twenty-one in a little while.,1,0,5.112267029,4.39,2.75
ATL_se0_ag1_f_01_1,610,ATL_se0_ag1_f_01,799.4099,804.2731,4.8632,"Yeah. Some of that stuff, you be like what? RD-NAME-3 be showing me some work. They got- they got-",2,2,7.905139978,7.58,5.75
ATL_se0_ag1_f_01_1,652,ATL_int_01,871.0172,874.0709,3.0537,"Hey, but would you be able to do that without like that-",1,0,9.238425213,9.05,12.0
ATL_se0_ag1_f_01_1,663,ATL_se0_ag1_f_01,890.1232,893.7581,3.6349,registers and stuff. so you gotta do it all in your head. So I just be like,1,1,10.79178552,10.63,7.0
ATL_se0_ag1_f_01_1,690,ATL_se0_ag1_f_01,924.8392,929.095,4.2558,sometimes I just can't listen to all that. I just be liking the beat to a hip hop song.,1,1,11.11740485,10.65,4.75
ATL_se0_ag1_f_01_1,693,ATL_se0_ag1_f_01,929.5292,931.3824,1.8532,I be listening to the beats.,1,1,15.05968958,14.44,25.75
ATL_se0_ag1_f_01_1,785,ATL_se0_ag1_f_01,1084.8841,1091.8518,6.9677,And then I be seeing these videos. These mama's be letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,2,2,7.09450818,6.74,5.5
ATL_se0_ag1_f_01_1,798,ATL_int_01,1116.1363,1118.1039,1.9676,It going to be an interesting time to wonder.,1,0,10.25373805,8.91,5.5
ATL_se0_ag1_f_01_1,865,ATL_se0_ag1_f_01,1231.5426,1234.6831,3.1405,"Boy that'd be fire, if they all playing it together.",1,0,8.884498052,8.63,5.75
ATL_se0_ag1_f_01_1,927,ATL_int_01,1344.8205,1346.5138,1.6933,"Obamacare be like, okay.",1,0,8.662457655,7.74,5.75
ATL_se0_ag1_f_01_1,961,ATL_se0_ag1_f_01,1391.5727,1395.8226,4.2499,I be trying to either get too deep into politics and stuff. I be listening to it-,2,2,12.64780851,12.38,6.5
ATL_se0_ag1_f_01_1,963,ATL_se0_ag1_f_01,1396.6246,1397.7164,1.0918,but I don't really be-,1,0,5.934260034,5.6,4.25
ATL_se0_ag1_f_01_1,978,ATL_int_01,1419.7255,1421.3442,1.6187,That would be kind of turnt though.,1,0,12.13132252,11.92,12.25
ATL_se0_ag1_f_01_1,986,ATL_int_01,1430.4274,1433.0015,2.5741,What- where Harriet Tubman sposta be? The new twenty?,1,0,11.72008154,11.38,8.5
ATL_se0_ag1_f_01_1,994,ATL_int_01,1443.2461,1444.2014,0.9553,I'm'a be cool.,1,0,11.43091544,8.78,7.25
ATL_se0_ag1_f_01_1,1031,ATL_se0_ag1_f_01,1522.9767,1524.087,1.1103,I don't be working out.,1,1,10.81928887,10.4,3.75
ATL_se0_ag1_f_01_1,1042,ATL_int_01,1537.5527,1539.1537,1.601,I be still trying to workout-,1,1,13.02151199,12.5,17.5
ATL_se0_ag1_f_01_1,1109,ATL_se0_ag1_f_01,1640.7434,1643.4615,2.7181,"I mean I told that man RD-NAME-2, if it be a little boy,",1,0,3.701505993,3.35,7.75
ATL_se0_ag1_f_01_1,1117,ATL_se0_ag1_f_01,1647.6685,1649.8661,2.1976,Man and it came around to be a little boy.,1,0,11.08342123,10.61,4.0
ATL_se0_ag1_f_01_1,1179,ATL_int_01,1750.9605,1752.3636,1.4031,Women should at least be get-,1,0,-2.777050876,-4.03,4.25
ATL_se0_ag1_f_01_1,1180,ATL_int_01,1752.9454,1757.6162,4.6708,Women should at least be getting paid around the same amounts as guys. If there's,1,0,10.21811195,8.86,6.25
ATL_se0_ag1_f_01_1,1203,ATL_se0_ag1_f_01,1796.5395,1798.7416,2.2021,"Me and RD-NAME-2 gonna be like you and Miss RD-NAME-1,",1,0,-0.907024444,-1.97,5.5
ATL_se0_ag1_f_01_1,1210,ATL_int_01,1808.583,1809.9104,1.3274,That shit gonna be crazy.,1,0,10.00872048,7.37,4.0
ATL_se0_ag1_f_01_1,1219,ATL_se0_ag1_f_01,1835.4921,1839.0668,3.5747,I don't really be playing video games. I just be playing games on my phone.,2,2,7.208285425,6.12,3.5
ATL_se0_ag1_f_01_1,1228,ATL_se0_ag1_f_01,1852.1151,1855.4913,3.3762,"And then I be playing the, um, Game Pigeon, games.",1,1,11.62097447,11.2,5.25
ATL_se0_ag1_f_02_1,7,ATL_int_01,5.5275,6.7935,1.266,today I will be,1,0,8.984383618,8.45,15.0
ATL_se0_ag1_f_02_1,302,ATL_se0_ag1_f_02,296.9746,304.0775,7.1029,"make us all equal or make us equal in their eyes. Once we get over that fact, then we'll be able to conquer this whole thing and get past it. But until then,",1,0,20.99845489,20.67,7.0
ATL_se0_ag1_f_02_1,310,ATL_se0_ag1_f_02,308.8388,309.9538,1.115,be in a struggle with them.,1,0,26.79830142,26.1,33.0
ATL_se0_ag1_f_02_1,576,ATL_se0_ag1_f_02,581.4096,583.3666,1.957,"Now once you got close up on him, you probably be like,",1,0,22.05474799,21.85,5.5
ATL_se0_ag1_f_02_1,678,ATL_se0_ag1_f_02,702.7247,706.121,3.3963,"you know how you had that kid growing up in school that your parents be like, stay away from them.",1,0,19.92140908,19.77,27.25
ATL_se0_ag1_f_02_1,710,ATL_se0_ag1_f_02,742.0953,745.7007,3.6054,"Cause Grandma be trying to watch her stories and get some peace, and he be barking at nobody for no",2,2,15.6337146,15.52,7.75
ATL_se0_ag1_f_02_1,756,ATL_int_01,792.5958,795.3889,2.7931,They didn't wanna fight you. They wanted to be best friends with you after that.,1,0,9.482907193,8.75,4.5
ATL_se0_ag1_f_02_1,808,ATL_se0_ag1_f_02,844.0076,846.6474,2.6398,you kind of have that urge to just be surrounded by people who just,1,0,19.15619184,18.93,26.25
ATL_se0_ag1_f_02_1,1076,ATL_int_01,1157.7802,1159.4259,1.6457,"Oh no, this can't be good.",1,0,32.33801014,32.09,29.0
ATL_se0_ag1_f_02_1,1127,ATL_se0_ag1_f_02,1226.1007,1229.5698,3.4691,"You see it. You hear it. It's directly in front of your face, cannot be avoided.",1,0,19.59030871,19.4,28.75
ATL_se0_ag1_f_02_1,1163,ATL_int_01,1264.5568,1267.928,3.3712,I- I know I hear that a lot from most northern people who be freaking out.,1,1,17.34045417,16.91,14.25
ATL_se0_ag1_f_02_1,1297,ATL_se0_ag1_f_02,1400.5512,1403.0002,2.449,"Well maybe that- yeah, that might be Jersey. That's something that I say.",1,0,18.24853062,18.13,9.75
ATL_se0_ag1_f_02_1,1334,ATL_se0_ag1_f_02,1439.8303,1444.3918,4.5615,"when somebody says something to someone, like I be- I hang out with a lot of males,",1,0,19.40406706,19.32,36.0
ATL_se0_ag1_f_02_1,1453,ATL_se0_ag1_f_02,1588.4369,1589.6175,1.1806,So I used to be like-,1,0,14.50043522,14.43,21.5
ATL_se0_ag1_f_02_1,1454,ATL_se0_ag1_f_02,1590.6745,1592.91,2.2355,"I used to literally have to tap on homie, be like, yo,",1,0,26.09081335,25.93,20.25
ATL_se0_ag1_f_02_1,1458,ATL_se0_ag1_f_02,1594.5348,1600.6534,6.1186,"And they be like, nah, what he said was, he was about to go over here and pick up this person, then he was gonna come back over here,",1,0,20.13626405,19.76,7.0
ATL_se0_ag1_f_02_1,1463,ATL_se0_ag1_f_02,1601.8898,1605.139,3.2492,"you know what I'm saying. That's what he said. I used to be like, oh okay, cool, cool, cool, cool.",1,0,38.97682819,38.12,28.5
ATL_se0_ag1_f_02_1,1484,ATL_se0_ag1_f_02,1631.9166,1634.18,2.2634,"Like and this is when he was sober, I used to be like, what",1,0,17.76450107,17.52,25.5
ATL_se0_ag1_f_02_1,1752,ATL_se0_ag1_f_02,1949.6034,1952.7801,3.1767,"you'll be able to build up a tolerance for it, just like people say, oh I don't drink,",1,0,21.61055507,21.08,29.75
ATL_se0_ag1_f_02_1,1772,ATL_se0_ag1_f_02,1974.3201,1981.1811,6.861,"And for them to say, oh, be careful of the sun. Don't look into the sun cause it might hurt your eyes or fuck with your eyes. We are sun people.",1,0,17.53365772,17.4,28.25
ATL_se0_ag1_f_02_1,1812,ATL_int_01,2028.5916,2032.1295,3.5379,I wanna say that they said it's supposed to be another one coming in a few years.,1,0,11.5445066,10.71,13.0
ATL_se0_ag1_f_02_1,1824,ATL_se0_ag1_f_02,2041.299,2044.2481,2.9491,That's it. I'm with you. We gonna be- our Black asses gonna be inside,2,0,16.99427921,16.92,14.5
ATL_se0_ag1_f_02_1,1827,ATL_int_01,2043.9027,2045.1593,1.2566,We'll be inside. That's not-,1,0,18.22533005,18.15,21.0
ATL_se0_ag1_f_02_1,1836,ATL_int_01,2050.7018,2052.3967,1.6949,This probably be the last,1,0,11.86030461,11.6,18.5
ATL_se0_ag1_f_02_1,1951,ATL_se0_ag1_f_02,2190.2472,2193.7583,3.5111,"Y'all say it, but y'all don't say it. Now when females say, y'all be like,",1,1,21.0535594,21.04,40.5
ATL_se0_ag1_f_02_1,1964,ATL_int_01,2204.5465,2206.8563,2.3098,be perfect for a lot of scenarios definitely.,1,0,28.96922001,28.56,24.75
ATL_se0_ag1_f_03_1,66,ATL_se0_ag1_f_03,77.2796,79.3824,2.1028,"Um, my mom used to be a school teacher,",1,0,20.80248522,20.49,9.0
ATL_se0_ag1_f_03_1,118,ATL_se0_ag1_f_03,148.3616,151.2211,2.8595,might be different type of music. People might act different.,1,0,15.00882526,14.81,7.5
ATL_se0_ag1_f_03_1,222,ATL_se0_ag1_f_03,293.1633,296.3392,3.1759,I didn't like it at first because I didn't know anybody and I didn't wanna be here.,1,0,13.5596039,13.44,8.0
ATL_se0_ag1_f_03_1,295,ATL_se0_ag1_f_03,398.7719,402.506,3.7341,"I mean I could walk, but I'd be dead by the time I get there . ",1,0,18.4166,18.37,13.25
ATL_se0_ag1_f_03_1,352,ATL_int_01,483.5995,486.0062,2.4067,"might be too tall for it, but we'll try.",1,0,12.85653321,11.59,9.0
ATL_se0_ag1_f_03_1,447,ATL_se0_ag1_f_03,612.2269,616.6513,4.4244,"that you didn't see for a while come around. And it would just be like- you know, old times. It would be fun.",2,0,12.60110273,12.41,23.0
ATL_se0_ag1_f_03_1,581,ATL_se0_ag1_f_03,793.1861,798.7556,5.5695,"So it be easy for you to maneuver in it, but if you're playing like a regular you know like, regular costume,",1,0,14.28496295,14.21,6.5
ATL_se0_ag1_f_03_1,629,ATL_se0_ag1_f_03,868.8681,873.3794,4.5113,"you know, he approached these females, or whatever the case may be. So I really don't know. And",1,0,14.95341411,14.9,9.5
ATL_se0_ag1_f_03_1,804,ATL_se0_ag1_f_03,1085.4792,1087.4517,1.9725,"A lot of stuff be on record too, so.",1,0,23.38107246,23.2,28.75
ATL_se0_ag1_f_03_1,815,ATL_se0_ag1_f_03,1105.6631,1112.9533,7.2902,"Um, I like scary movies. So if there's a scary movie on, or a scary show, I'm watching it. Like True Blood, that used to be my show. But it doesn't come on anymore.",1,0,19.17308781,18.94,10.0
ATL_se0_ag1_f_03_1,969,ATL_se0_ag1_f_03,1305.3118,1308.1618,2.85,"I mean the money's gonna be good too, but, um,",1,0,14.65846449,14.61,5.0
ATL_se0_ag1_f_03_1,996,ATL_se0_ag1_f_03,1335.161,1337.6502,2.4892,"at- at some point in life, that's gonna be me,",1,0,24.58006136,24.41,28.0
ATL_se0_ag1_f_03_1,1028,Misc,1379.3054,1380.2556,0.9502,Don't be stupid.,1,0,30.32347,28.13,24.0
ATL_se0_ag1_f_03_1,1045,ATL_int_01,1394.6671,1395.2373,0.5702,Be a plug.,1,0,13.31076256,12.93,12.0
ATL_se0_ag1_f_03_1,1161,ATL_se0_ag1_f_03,1550.9903,1554.3168,3.3265,"say you're doing something and it's getting on my nerves. I be like, you dragging like,",1,0,15.08452661,15.01,26.75
ATL_se0_ag1_f_03_1,1168,Misc,1561.7807,1562.3992,0.6185, be.,1,0,5.558296629,4.12,3.75
ATL_se0_ag1_f_03_1,1169,ATL_se0_ag1_f_03,1563.8587,1565.4752,1.6165,"Yeah, it's about to be a movie.",1,0,10.52859274,10.38,6.0
ATL_se0_ag1_f_03_1,1206,ATL_se0_ag1_f_03,1613.026,1615.9522,2.9262,"Like my best friend, I be hearing her say it, but she won't say it like bruh.",1,1,11.55689077,11.51,8.0
ATL_se0_ag1_f_03_1,1208,ATL_se0_ag1_f_03,1616.5099,1617.4094,0.8995,"But she be like bruh,",1,1,2.564560996,2.49,4.0
