File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine
ATL_se0_ag1_f_03_1,501,ATL_int_01,699.0259,700.099,1.0731,And you've done one,1,0
ATL_se0_ag1_m_01_1,214,ATL_se0_ag1_m_01,298.0746,300.0073,1.9327,N- you done came to find some more shit.,1,1
ATL_se0_ag1_m_01_1,1035,ATL_se0_ag1_m_01,1460.7124,1463.0019,2.2895,"like everything is done with a purpose, you know what I'm saying.",1,0
ATL_se0_ag1_m_01_1,1312,ATL_se0_ag1_m_01,1887.0193,1890.3135,3.2942,"I mean like, for my ultimate, like, I'm done, I can chill out,",1,0
ATL_se0_ag1_m_01_1,1893,ATL_Int_01,2748.194,2749.5789,1.3849,I'm done with it by the end though,1,0
ATL_se0_ag1_m_02_1,342,ATL_se0_ag1_m_02,345.6324,349.2195,3.5871,"You know, some- certain things my parents done, you know, right or wrong,",1,0
ATL_se0_ag1_m_03_1,1359,ATL_se0_ag1_m_03,1522.6987,1526.3569,3.6582,"matriculated for me like that cause I've gained a lot of experience. I've done a lot, but",1,0
ATL_se0_ag1_m_03_1,1596,ATL_int_01,1819.257,1822.1597,2.9027,"I gave up on live, man. I'm- I'm assuming they done for.",1,0
ATL_se0_ag1_m_03_1,1979,ATL_se0_ag1_m_03,2229.8313,2236.0118,6.1805,"you a slob. You a- we started going at it, and next thing you know, I was like, you know what, fuck it. I ain't f- get away from me, like stop talk- we- we done.",1,0
ATL_se0_ag1_m_03_1,2091,ATL_se0_ag1_m_03,2361.6825,2364.6302,2.9477,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",1,1
ATL_se0_ag1_m_04_1,518,ATL_se0_ag1_m_04,704.0631,711.1425,7.0794,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this done, or you got to have this done. It's more so me saying like,",2,0
ATL_se0_ag1_m_04_1,650,ATL_se0_ag1_m_04,873.7069,877.2424,3.5355,before they even realize what you got. And a lot of people- I done had people,1,1
