File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine
ATL_se0_ag1_f_02_1,1141,ATL_se0_ag1_f_02,1243.3022,1244.0292,0.727,there isn't that.,1,0
ATL_se0_ag1_m_02_1,617,ATL_se0_ag1_m_02,660.6785,663.1192,2.4407,poets aren't like artists like rappers.,1,0
ATL_se0_ag1_m_02_1,771,ATL_se0_ag1_m_02,833.6291,836.0317,2.4026,Apple isn't far from the tree which means,1,0
ATL_se0_ag1_m_05_1,989,ATL_se0_ag1_m_05,1511.3912,1516.4645,5.0733,"you know, we- we do understand that that's what the times were, and it- it definitely isn't right. But",1,0
ATL_se0_ag2_f_02_1,850,ATL_se0_ag2_f_02,1155.3626,1156.7999,1.4373,The food isn't even real.,1,0
ATL_se0_ag2_f_02_1,1388,ATL_se0_ag2_f_02,2053.1652,2054.1259,0.9607,aren't you from Alabama?,1,0
DCA_se1_ag1_f_04_1,1096,DCA_int_03,1211.8781,1213.1878,1.3097,Isn't that supposed to be bad?,1,0
DCA_se1_ag1_f_04_1,1798,DCA_int_03,2062.2665,2064.5504,2.2839,"Oh boy, that's pretty old, isn't it? ",1,0
DCA_se1_ag1_f_05_1,572,DCA_int_03,676.2112,678.5158,2.3046,"So you're taking geometry. That's- that's fun, isn't it?",1,0
DCA_se1_ag1_m_04_1,478,DCA_se1_ag1_m_04,693.711,695.8559,2.1449,There- i- aren't none. Everybody just the same.,1,0
DCA_se1_ag1_m_07_2,47,DCA_se1_ag1_m_07,72.0469,74.2045,2.1576,"in our environment, there aren't any, you know",1,0
DCA_se1_ag3_f_01_1,776,DCA_se1_ag3_f_01,959.4776,961.4033,1.9257,there isn't anyone that I can say that,1,0
DCA_se1_ag3_f_01_1,1417,DCA_int_03,1806.3913,1809.0088,2.6175,"It isn't? Oh- Yeah, sounds good anyway .",1,0
DCA_se1_ag3_f_02_1,884,DCA_se1_ag3_f_02,1357.656,1360.1356,2.4796,Or a private practice isn't a bad thing.,1,0
DCA_se1_ag4_m_02_1,50,DCA_se1_ag4_m_02,44.8054,47.4306,2.6252,"Usually there isn't- let's say in the block like that, put it like that.",1,0
DCA_se1_ag4_m_02_1,1247,DCA_se1_ag4_m_02,1532.4903,1534.0054,1.5151,"Oh, oh, I'm-I'm-I'm loud isn't I, huh?",1,0
DCA_se2_ag1_f_03_1,1028,DCA_int_03,1102.6466,1104.6652,2.0186,"That is really a fascinating show, isn't it?",1,0
DCA_se2_ag1_f_07_1,1076,DCA_se2_ag1_f_07,1406.234,1407.465,1.231,"isn't going too right,",1,0
DCA_se3_ag1_f_01_1,159,DCA_int_03,198.323,200.1276,1.8046,Okay. Isn't that dangerous? ,1,0
DCA_se3_ag1_f_01_1,760,DCA_int_03,856.6369,859.3589,2.722,"Oh well that's pretty bright of you. You a smart girl, aren't you?",1,0
DCA_se3_ag1_f_03_1,873,DCA_se3_ag1_f_03,1025.0726,1027.6687,2.5961,"You know, in a way she's mean, and in a way she isn't.",1,0
DCA_se3_ag1_f_06_1,540,DCA_se3_ag1_f_06,529.5441,530.5956,1.0515,we aren't allowed to-,1,0
DCA_se3_ag1_m_02_1,380,DCA_se3_ag1_m_02,439.8708,441.7378,1.867,and baseball in itself isn't really a,1,0
DCA_se3_ag1_m_02_1,2504,DCA_se3_ag1_m_02,2673.8381,2674.5761,0.738,they aren't really-,1,0
DCA_se3_ag1_m_02_2,139,DCA_se3_ag1_m_02,139.6415,141.0307,1.3892,these people aren't different.,1,0
DCA_se3_ag1_m_03_1,948,DCA_se3_ag1_m_03,1133.9236,1135.8643,1.9407,she isn't aware that her students uh,1,0
DCA_se3_ag1_m_03_1,1634,DCA_se3_ag1_m_03,2042.964,2047.1894,4.2254,"that she isn't afraid of the height, and if sh- and she figures if she's going to die, she's going to die anyway,",1,0
DCA_se3_ag1_m_04_1,2464,DCA_se3_ag1_m_04,1961.7571,1964.4823,2.7252,But this isn't really what I want now and this is what,1,0
DCA_se3_ag1_m_06_1,472,DCA_se3_ag1_m_06,498.2722,500.2788,2.0066,our level of achievement isn't quite that high.,1,0
DCA_se3_ag2_f_02_1,278,DCA_se3_ag2_f_02,399.2769,405.6835,6.4066,"So she says, oh certainly! I'd be very happy to. It's so nice to meet someone who isn't a credit to his race.",1,0
DCA_se3_ag2_f_02_1,311,DCA_se3_ag2_f_02,465.4292,467.0545,1.6253,"Yes, isn't that awful.",1,0
DCA_se3_ag2_f_03_1,254,DCA_int_03,321.7778,323.0915,1.3137,Isn't he new or something?,1,0
DCA_se3_ag2_f_04_1,426,DCA_se3_ag2_f_04,554.0969,554.4851,0.3882,isn't.,1,0
DCA_se3_ag2_f_04_1,1008,DCA_se3_ag2_f_04,1368.2536,1371.7999,3.5463,It's- Glen Echo is an amusement park but it isn't very exciting.,1,0
DCA_se3_ag2_f_04_1,1054,DCA_se3_ag2_f_04,1439.375,1444.5539,5.1789,"We just cut up and she said, well you know Santa Claus isn't going to give you anything this year because uh,",1,0
DCA_se3_ag2_f_05_1,384,DCA_se3_ag2_f_05,499.9754,502.4925,2.5171,"And the man who's arrested of course isn't guilty,",1,0
DCA_se3_ag2_m_02_1,771,DCA_se3_ag2_m_02,996.1898,997.1742,0.9844,really isn't aware,1,0
DCA_se3_ag3_m_01_1,512,DCA_se3_ag3_m_01,746.6342,748.9507,2.3165,"Yeah, that's- it's gruesome, isn't it? ",1,0
DCA_se3_ag3_m_01_1,1279,DCA_se3_ag3_m_01,1898.0451,1902.9022,4.8571,"in the class. And uh, this way of course- This isn't a form of- of discipline in my opinion.",1,0
DCA_se3_ag4_m_01_1,243,DCA_se3_ag4_m_01,300.4476,302.7418,2.2942,Meet the Press to me isn't worth seeing.,1,0
DCA_se3_ag4_m_01_1,1404,DCA_se3_ag4_m_01,1828.3119,1834.4471,6.1352,"Oh yes, definitely so, definitely so. People- they- maybe- are they aren't changing fast enough for the number of people that we have on our hands. I mean",1,0
DCA_se3_ag4_m_02_1,24,DCA_se3_ag4_m_02,24.6343,26.7559,2.1216,Red Rover? That's just like Hide and Seek isn't it?,1,0
DCB_se1_ag1_f_01_1,817,DCB_int_01,995.3756,998.7562,3.3806,But isn't a lot of go go- Don't they do a lot of covers of R and B songs?,1,0
DCB_se1_ag1_m_02_1,240,DCB_se1_ag1_m_02,291.3756,292.8864,1.5108,and it still isn't the best school.,1,0
