File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
fe0300323,159,1,1,i don't think that's good enough though  like too bad for him because they've tried for three years and she's done bent over backwards for the guy and everything ,"['years', 'and', ""she's""]","('years', 'and', ""she's"")","['years', 'and', ""she's""]","('years', 'and', ""she's"")",1.0,0.004429968684994363,"['bent', 'over', 'backwards']","('bent', 'over', 'backwards')","['bent', 'over', 'backwards']","('bent', 'over', 'backwards')",1.0,0.004429968684994363,years,years,1.0,0.004429968684994363,and,and,4.0,0.01771987473997745,she's,she's,1.0,0.004429968684994363,bent,bent,1.0,0.004429968684994363,over,over,2.0,0.008859937369988725,backwards,backwards,1.0,0.004429968684994363
fe0300441,25,1,1,i done forgot the name of that company but it was a real ,"[nan, nan, 'i']","(nan, nan, 'i')",['i'],"('i',)",3.0,0.013289906054983088,"['forgot', 'the', 'name']","('forgot', 'the', 'name')","['forgot', 'the', 'name']","('forgot', 'the', 'name')",1.0,0.004429968684994363,,,10.0,0.04429968684994363,,,4.0,0.01771987473997745,i,i,12.0,0.05315962421993235,forgot,forgot,1.0,0.004429968684994363,the,the,5.0,0.022149843424971814,name,name,1.0,0.004429968684994363
fe0300505,116,1,1,i done missed a ten dollar phone call ,"[nan, nan, 'i']","(nan, nan, 'i')",['i'],"('i',)",3.0,0.013289906054983088,"['missed', 'a', 'ten']","('missed', 'a', 'ten')","['missed', 'a', 'ten']","('missed', 'a', 'ten')",1.0,0.004429968684994363,,,10.0,0.04429968684994363,,,4.0,0.01771987473997745,i,i,12.0,0.05315962421993235,missed,missed,1.0,0.004429968684994363,a,a,5.0,0.022149843424971814,ten,ten,1.0,0.004429968684994363
fe0300783,15,1,1,yes any money in pockets to pay somebody to do them for you that comes later after you've done made all the money you could  but yeah really especially in the ozarks ,"['later', 'after', ""you've""]","('later', 'after', ""you've"")","['later', 'after', ""you've""]","('later', 'after', ""you've"")",1.0,0.004429968684994363,"['made', 'all', 'the']","('made', 'all', 'the')","['made', 'all', 'the']","('made', 'all', 'the')",1.0,0.004429968684994363,later,later,1.0,0.004429968684994363,after,after,1.0,0.004429968684994363,you've,you've,1.0,0.004429968684994363,made,made,1.0,0.004429968684994363,all,all,3.0,0.013289906054983088,the,the,5.0,0.022149843424971814
fe0300972,218,1,1,and after we had done went through it like three times spent about two hundred bucks on ,"['after', 'we', 'had']","('after', 'we', 'had')","['after', 'we', 'had']","('after', 'we', 'had')",1.0,0.004429968684994363,"['went', 'through', 'it']","('went', 'through', 'it')","['went', 'through', 'it']","('went', 'through', 'it')",1.0,0.004429968684994363,after,after,1.0,0.004429968684994363,we,we,1.0,0.004429968684994363,had,had,2.0,0.008859937369988725,went,went,2.0,0.008859937369988725,through,through,3.0,0.013289906054983088,it,it,2.0,0.008859937369988725
fe0301176,63,1,1,and i had done registered for a lot of them before i ever found um the money and shopping dot com so i know that there are some on there that i have not registered at yet but um ,"['and', 'i', 'had']","('and', 'i', 'had')","['and', 'i', 'had']","('and', 'i', 'had')",1.0,0.004429968684994363,"['registered', 'for', 'a']","('registered', 'for', 'a')","['registered', 'for', 'a']","('registered', 'for', 'a')",1.0,0.004429968684994363,and,and,1.0,0.004429968684994363,i,i,1.0,0.004429968684994363,had,had,2.0,0.008859937369988725,registered,registered,1.0,0.004429968684994363,for,for,2.0,0.008859937369988725,a,a,3.0,0.013289906054983088
fe0302112,157,1,1,he's gone now she done moved to new york and married another guy so i don't talk to her very often any more  ,"['gone', 'now', 'she']","('gone', 'now', 'she')","['gone', 'now', 'she']","('gone', 'now', 'she')",1.0,0.004429968684994363,"['moved', 'to', 'new']","('moved', 'to', 'new')","['moved', 'to', 'new']","('moved', 'to', 'new')",1.0,0.004429968684994363,gone,gone,1.0,0.004429968684994363,now,now,2.0,0.008859937369988725,she,she,2.0,0.008859937369988725,moved,moved,1.0,0.004429968684994363,to,to,1.0,0.004429968684994363,new,new,1.0,0.004429968684994363
fe0302457,126,1,1,no he no he's not done trained ,"['no', ""he's"", 'not']","('no', ""he's"", 'not')","['no', ""he's"", 'not']","('no', ""he's"", 'not')",1.0,0.004429968684994363,"['trained', nan, nan]","('trained', nan, nan)",['trained'],"('trained',)",1.0,0.004429968684994363,no,no,1.0,0.004429968684994363,he's,he's,1.0,0.004429968684994363,not,not,1.0,0.004429968684994363,trained,trained,1.0,0.004429968684994363,,,6.0,0.026579812109966176,,,9.0,0.03986971816494926
fe0302649,28,1,1,   you'll notice that all other holidays either you spend this   or you spend that and you get now you're trying to make up the money you done spent  ,"['the', 'money', 'you']","('the', 'money', 'you')","['the', 'money', 'you']","('the', 'money', 'you')",1.0,0.004429968684994363,"['spent', nan, nan]","('spent', nan, nan)",['spent'],"('spent',)",1.0,0.004429968684994363,the,the,2.0,0.008859937369988725,money,money,1.0,0.004429968684994363,you,you,10.0,0.04429968684994363,spent,spent,1.0,0.004429968684994363,,,6.0,0.026579812109966176,,,9.0,0.03986971816494926
fe0303309,89,3,1,done done taken care of that all done  yeah ,"['of', 'that', 'all']","('of', 'that', 'all')","['of', 'that', 'all']","('of', 'that', 'all')",1.0,0.004429968684994363,"['yeah', nan, nan]","('yeah', nan, nan)",['yeah'],"('yeah',)",1.0,0.004429968684994363,of,of,1.0,0.004429968684994363,that,that,4.0,0.01771987473997745,all,all,1.0,0.004429968684994363,yeah,yeah,1.0,0.004429968684994363,,,6.0,0.026579812109966176,,,9.0,0.03986971816494926
fe0303448,114,2,1,a true friend somebody who when i know i done did something terrible like my fiance when i done something terrible i go to him and tell him ,"['fiance', 'when', 'i']","('fiance', 'when', 'i')","['fiance', 'when', 'i']","('fiance', 'when', 'i')",1.0,0.004429968684994363,"['something', 'terrible', 'i']","('something', 'terrible', 'i')","['something', 'terrible', 'i']","('something', 'terrible', 'i')",1.0,0.004429968684994363,fiance,fiance,1.0,0.004429968684994363,when,when,1.0,0.004429968684994363,i,i,12.0,0.05315962421993235,something,something,1.0,0.004429968684994363,terrible,terrible,1.0,0.004429968684994363,i,i,1.0,0.004429968684994363
fe0303451,91,1,1,b. j. really doesn't care i mean he's older than me and he's done went through all that you know where he partied and all that and you know and i'm just now ,"['me', 'and', ""he's""]","('me', 'and', ""he's"")","['me', 'and', ""he's""]","('me', 'and', ""he's"")",1.0,0.004429968684994363,"['went', 'through', 'all']","('went', 'through', 'all')","['went', 'through', 'all']","('went', 'through', 'all')",1.0,0.004429968684994363,me,me,1.0,0.004429968684994363,and,and,4.0,0.01771987473997745,he's,he's,1.0,0.004429968684994363,went,went,2.0,0.008859937369988725,through,through,3.0,0.013289906054983088,all,all,3.0,0.013289906054983088
fe0304229,81,1,1,i feel you did the right thing but i guess you have guilt feelings about it and you think you should have done  had the baby right   ,"['you', 'should', 'have']","('you', 'should', 'have')","['you', 'should', 'have']","('you', 'should', 'have')",1.0,0.004429968684994363,"['had', 'the', 'baby']","('had', 'the', 'baby')","['had', 'the', 'baby']","('had', 'the', 'baby')",1.0,0.004429968684994363,you,you,6.0,0.026579812109966176,should,should,1.0,0.004429968684994363,have,have,2.0,0.008859937369988725,had,had,3.0,0.013289906054983088,the,the,5.0,0.022149843424971814,baby,baby,2.0,0.008859937369988725
fe0304308,185,2,1,has kinda worked itself out or is no longer important you know like the whole career thing it's kinda like i've done been there done that ,"['done', 'been', 'there']","('done', 'been', 'there')","['done', 'been', 'there']","('done', 'been', 'there')",2.0,0.008859937369988725,"['that', nan, nan]","('that', nan, nan)",['that'],"('that',)",1.0,0.004429968684994363,done,done,2.0,0.008859937369988725,been,been,2.0,0.008859937369988725,there,there,2.0,0.008859937369988725,that,that,1.0,0.004429968684994363,,,6.0,0.026579812109966176,,,9.0,0.03986971816494926
fe0304688,43,1,1,and they send it  i get it sometimes i guess some people done sold my paper before i go downstairs and get it  ,"['guess', 'some', 'people']","('guess', 'some', 'people')","['guess', 'some', 'people']","('guess', 'some', 'people')",1.0,0.004429968684994363,"['sold', 'my', 'paper']","('sold', 'my', 'paper')","['sold', 'my', 'paper']","('sold', 'my', 'paper')",1.0,0.004429968684994363,guess,guess,1.0,0.004429968684994363,some,some,1.0,0.004429968684994363,people,people,1.0,0.004429968684994363,sold,sold,1.0,0.004429968684994363,my,my,1.0,0.004429968684994363,paper,paper,1.0,0.004429968684994363
fe0304707,37,1,1, well it was friday night and saturday morning and   i played i played this other guy that that's a church member and we done played some chess  so   ,"['member', 'and', 'we']","('member', 'and', 'we')","['member', 'and', 'we']","('member', 'and', 'we')",1.0,0.004429968684994363,"['played', 'some', 'chess']","('played', 'some', 'chess')","['played', 'some', 'chess']","('played', 'some', 'chess')",1.0,0.004429968684994363,member,member,1.0,0.004429968684994363,and,and,4.0,0.01771987473997745,we,we,4.0,0.01771987473997745,played,played,1.0,0.004429968684994363,some,some,1.0,0.004429968684994363,chess,chess,1.0,0.004429968684994363
fe0305302,33,1,1,and by the time you figure out what it is it's probably done killed a million people ,"['is', ""it's"", 'probably']","('is', ""it's"", 'probably')","['is', ""it's"", 'probably']","('is', ""it's"", 'probably')",1.0,0.004429968684994363,"['killed', 'a', 'million']","('killed', 'a', 'million')","['killed', 'a', 'million']","('killed', 'a', 'million')",1.0,0.004429968684994363,is,is,1.0,0.004429968684994363,it's,it's,1.0,0.004429968684994363,probably,probably,2.0,0.008859937369988725,killed,killed,2.0,0.008859937369988725,a,a,5.0,0.022149843424971814,million,million,1.0,0.004429968684994363
fe0305348,17,1,1,hell yeah  i done been divorced it didn't happen that first time   ,"['hell', 'yeah', 'i']","('hell', 'yeah', 'i')","['hell', 'yeah', 'i']","('hell', 'yeah', 'i')",1.0,0.004429968684994363,"['been', 'divorced', 'it']","('been', 'divorced', 'it')","['been', 'divorced', 'it']","('been', 'divorced', 'it')",1.0,0.004429968684994363,hell,hell,1.0,0.004429968684994363,yeah,yeah,2.0,0.008859937369988725,i,i,12.0,0.05315962421993235,been,been,5.0,0.022149843424971814,divorced,divorced,1.0,0.004429968684994363,it,it,2.0,0.008859937369988725
fe0305348,172,1,1,'cause i'm telling you i mean i done been through the rehab and all that other crap you know ,"['i', 'mean', 'i']","('i', 'mean', 'i')","['i', 'mean', 'i']","('i', 'mean', 'i')",1.0,0.004429968684994363,"['been', 'through', 'the']","('been', 'through', 'the')","['been', 'through', 'the']","('been', 'through', 'the')",1.0,0.004429968684994363,i,i,4.0,0.01771987473997745,mean,mean,1.0,0.004429968684994363,i,i,12.0,0.05315962421993235,been,been,5.0,0.022149843424971814,through,through,3.0,0.013289906054983088,the,the,5.0,0.022149843424971814
fe0305358,17,1,1, well what was it they ask us uh what is   i done forget what they ask  ,"['what', 'is', 'i']","('what', 'is', 'i')","['what', 'is', 'i']","('what', 'is', 'i')",1.0,0.004429968684994363,"['forget', 'what', 'they']","('forget', 'what', 'they')","['forget', 'what', 'they']","('forget', 'what', 'they')",1.0,0.004429968684994363,what,what,1.0,0.004429968684994363,is,is,2.0,0.008859937369988725,i,i,12.0,0.05315962421993235,forget,forget,1.0,0.004429968684994363,what,what,1.0,0.004429968684994363,they,they,1.0,0.004429968684994363
fe0305469,93,1,1,okay now they they done fought for their right to smoke and vote and do all of that and now you wanna take the right back from them as well as from the men ,"['now', 'they', 'they']","('now', 'they', 'they')","['now', 'they', 'they']","('now', 'they', 'they')",1.0,0.004429968684994363,"['fought', 'for', 'their']","('fought', 'for', 'their')","['fought', 'for', 'their']","('fought', 'for', 'their')",1.0,0.004429968684994363,now,now,3.0,0.013289906054983088,they,they,3.0,0.013289906054983088,they,they,5.0,0.022149843424971814,fought,fought,1.0,0.004429968684994363,for,for,2.0,0.008859937369988725,their,their,2.0,0.008859937369988725
fe0305476,56,1,1, and we should be uncomfortable 'cause they over here we done taught them all kinds of things you know what i'm saying if they wanted to go postal on us they could  ,"['over', 'here', 'we']","('over', 'here', 'we')","['over', 'here', 'we']","('over', 'here', 'we')",1.0,0.004429968684994363,"['taught', 'them', 'all']","('taught', 'them', 'all')","['taught', 'them', 'all']","('taught', 'them', 'all')",1.0,0.004429968684994363,over,over,1.0,0.004429968684994363,here,here,1.0,0.004429968684994363,we,we,4.0,0.01771987473997745,taught,taught,1.0,0.004429968684994363,them,them,1.0,0.004429968684994363,all,all,3.0,0.013289906054983088
fe0305829,22,1,1,yeah they ripped apart the they've done ripped apart the stock market that's for sure ,"['apart', 'the', ""they've""]","('apart', 'the', ""they've"")","['apart', 'the', ""they've""]","('apart', 'the', ""they've"")",1.0,0.004429968684994363,"['ripped', 'apart', 'the']","('ripped', 'apart', 'the')","['ripped', 'apart', 'the']","('ripped', 'apart', 'the')",1.0,0.004429968684994363,apart,apart,1.0,0.004429968684994363,the,the,1.0,0.004429968684994363,they've,they've,2.0,0.008859937369988725,ripped,ripped,1.0,0.004429968684994363,apart,apart,1.0,0.004429968684994363,the,the,5.0,0.022149843424971814
fe0306070,43,1,1,oh wait a minute i've done got confused j. n. l. ,"['a', 'minute', ""i've""]","('a', 'minute', ""i've"")","['a', 'minute', ""i've""]","('a', 'minute', ""i've"")",1.0,0.004429968684994363,"['got', 'confused', 'j.']","('got', 'confused', 'j.')","['got', 'confused', 'j']","('got', 'confused', 'j')",1.0,0.004429968684994363,a,a,1.0,0.004429968684994363,minute,minute,1.0,0.004429968684994363,i've,i've,4.0,0.01771987473997745,got,got,8.0,0.0354397494799549,confused,confused,2.0,0.008859937369988725,j.,j,1.0,0.004429968684994363
fe0306070,121,1,1,my mother she wouldn't even fool with it she says oh i done got too old i'm not gonna learn so you have to just be willing to to to do it but d- do they have educational uh uh ,"['says', 'oh', 'i']","('says', 'oh', 'i')","['says', 'oh', 'i']","('says', 'oh', 'i')",1.0,0.004429968684994363,"['got', 'too', 'old']","('got', 'too', 'old')","['got', 'too', 'old']","('got', 'too', 'old')",1.0,0.004429968684994363,says,says,1.0,0.004429968684994363,oh,oh,1.0,0.004429968684994363,i,i,12.0,0.05315962421993235,got,got,8.0,0.0354397494799549,too,too,1.0,0.004429968684994363,old,old,1.0,0.004429968684994363
fe0306190,36,1,1,they should've done been in but it's just been so wet ,"[nan, 'they', ""should've""]","(nan, 'they', ""should've"")","['they', ""should've""]","('they', ""should've"")",1.0,0.004429968684994363,"['been', 'in', 'but']","('been', 'in', 'but')","['been', 'in', 'but']","('been', 'in', 'but')",1.0,0.004429968684994363,,,10.0,0.04429968684994363,they,they,3.0,0.013289906054983088,should've,should've,1.0,0.004429968684994363,been,been,5.0,0.022149843424971814,in,in,2.0,0.008859937369988725,but,but,1.0,0.004429968684994363
fe0306333,122,1,1,and the doctor said well since you've cut down so dramatically from what you were smoking you know you've probably done did the baby more good than you did harm you know by smoking ,"['know', ""you've"", 'probably']","('know', ""you've"", 'probably')","['know', ""you've"", 'probably']","('know', ""you've"", 'probably')",1.0,0.004429968684994363,"['did', 'the', 'baby']","('did', 'the', 'baby')","['did', 'the', 'baby']","('did', 'the', 'baby')",1.0,0.004429968684994363,know,know,1.0,0.004429968684994363,you've,you've,1.0,0.004429968684994363,probably,probably,2.0,0.008859937369988725,did,did,5.0,0.022149843424971814,the,the,5.0,0.022149843424971814,baby,baby,2.0,0.008859937369988725
fe0306857,37,1,1,well you see i mine i guess they done met all all that 'cause you know like i said when i took my sister out there they um ,"['i', 'guess', 'they']","('i', 'guess', 'they')","['i', 'guess', 'they']","('i', 'guess', 'they')",1.0,0.004429968684994363,"['met', 'all', 'all']","('met', 'all', 'all')","['met', 'all', 'all']","('met', 'all', 'all')",1.0,0.004429968684994363,i,i,4.0,0.01771987473997745,guess,guess,1.0,0.004429968684994363,they,they,5.0,0.022149843424971814,met,met,1.0,0.004429968684994363,all,all,3.0,0.013289906054983088,all,all,3.0,0.013289906054983088
fe0307047,151,1,1,  well i i signed up on it it was kind of a happened upon it type thing and i didn't bookmark it and i was like okay  'cause i've done completed one call and i was like oh where do i go back and check  it out  ah ,"['okay', ""'cause"", ""i've""]","('okay', ""'cause"", ""i've"")","['okay', ""'cause"", ""i've""]","('okay', ""'cause"", ""i've"")",1.0,0.004429968684994363,"['completed', 'one', 'call']","('completed', 'one', 'call')","['completed', 'one', 'call']","('completed', 'one', 'call')",1.0,0.004429968684994363,okay,okay,1.0,0.004429968684994363,'cause,'cause,2.0,0.008859937369988725,i've,i've,4.0,0.01771987473997745,completed,completed,1.0,0.004429968684994363,one,one,1.0,0.004429968684994363,call,call,1.0,0.004429968684994363
fe0307151,90,1,1,but only just the internet part that's the only part i know how to use but right now i done did something to it that i really don't even know what's wrong with it ,"['right', 'now', 'i']","('right', 'now', 'i')","['right', 'now', 'i']","('right', 'now', 'i')",1.0,0.004429968684994363,"['did', 'something', 'to']","('did', 'something', 'to')","['did', 'something', 'to']","('did', 'something', 'to')",1.0,0.004429968684994363,right,right,1.0,0.004429968684994363,now,now,2.0,0.008859937369988725,i,i,12.0,0.05315962421993235,did,did,5.0,0.022149843424971814,something,something,1.0,0.004429968684994363,to,to,1.0,0.004429968684994363
fe0307301,65,1,1,yeah you done had your fill of the deli meats by then haven't you ,"[nan, 'yeah', 'you']","(nan, 'yeah', 'you')","['yeah', 'you']","('yeah', 'you')",1.0,0.004429968684994363,"['had', 'your', 'fill']","('had', 'your', 'fill')","['had', 'your', 'fill']","('had', 'your', 'fill')",1.0,0.004429968684994363,,,10.0,0.04429968684994363,yeah,yeah,2.0,0.008859937369988725,you,you,10.0,0.04429968684994363,had,had,3.0,0.013289906054983088,your,your,2.0,0.008859937369988725,fill,fill,1.0,0.004429968684994363
