File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
1363-135842-0027,27,1,1,and a couple were in the big pocket where they had spent their babyhood we all done thought we'd come to school explained unc billy with a grin,"['babyhood', 'we', 'all']","('babyhood', 'we', 'all')","['babyhood', 'we', 'all']","('babyhood', 'we', 'all')",1.0,0.010299958480867365,"['thought', ""we'd"", 'come']","('thought', ""we'd"", 'come')","['thought', ""we'd"", 'come']","('thought', ""we'd"", 'come')",1.0,0.010299958480867365,babyhood,babyhood,1.0,0.010299958480867365,we,we,1.0,0.010299958480867365,all,all,1.0,0.010299958480867365,thought,thought,1.0,0.010299958480867365,we'd,we'd,1.0,0.010299958480867365,come,come,1.0,0.010299958480867365
1363-135842-0039,39,1,1,not lately said he ah done got a dreadful scare the last time ah was up there,"['said', 'he', 'ah']","('said', 'he', 'ah')","['said', 'he', 'ah']","('said', 'he', 'ah')",1.0,0.010299958480867365,"['got', 'a', 'dreadful']","('got', 'a', 'dreadful')","['got', 'a', 'dreadful']","('got', 'a', 'dreadful')",1.0,0.010299958480867365,said,said,1.0,0.010299958480867365,he,he,1.0,0.010299958480867365,ah,ah,1.0,0.010299958480867365,got,got,1.0,0.010299958480867365,a,a,1.0,0.010299958480867365,dreadful,dreadful,1.0,0.010299958480867365
238-122530-0008,8,1,1,now the duchess has done come on mind the bottom step hang it all how dark it is behind this curtain garth gave her his hand and jane mounted the steps and passed into view of the large audience assembled in the overdene concert room,"['the', 'duchess', 'has']","('the', 'duchess', 'has')","['the', 'duchess', 'has']","('the', 'duchess', 'has')",1.0,0.010299958480867365,"['come', 'on', 'mind']","('come', 'on', 'mind')","['come', 'on', 'mind']","('come', 'on', 'mind')",1.0,0.010299958480867365,the,the,1.0,0.010299958480867365,duchess,duchess,1.0,0.010299958480867365,has,has,1.0,0.010299958480867365,come,come,2.0,0.02059991696173473,on,on,1.0,0.010299958480867365,mind,mind,1.0,0.010299958480867365
2691-156750-0022,22,2,1,now i wants yo to be nice and yo can't lessen yo can read and talk like de captain done tole me yo mudder done i was delighted with the book and told her so and hugged it all the way home,"['me', 'yo', 'mudder']","('me', 'yo', 'mudder')","['me', 'yo', 'mudder']","('me', 'yo', 'mudder')",1.0,0.010299958480867365,"['i', 'was', 'delighted']","('i', 'was', 'delighted')","['i', 'was', 'delighted']","('i', 'was', 'delighted')",1.0,0.010299958480867365,me,me,2.0,0.02059991696173473,yo,yo,1.0,0.010299958480867365,mudder,mudder,1.0,0.010299958480867365,i,i,1.0,0.010299958480867365,was,was,1.0,0.010299958480867365,delighted,delighted,1.0,0.010299958480867365
3997-182399-0006,6,1,1,way back in the days when grandpap buzzard had his lil falling out with ol king eagle and done fly so high he sco'tch the feathers offen his haid he had a cousin did grandpap buzzard and this cousin was jes naturally lazy and no count,"['king', 'eagle', 'and']","('king', 'eagle', 'and')","['king', 'eagle', 'and']","('king', 'eagle', 'and')",1.0,0.010299958480867365,"['fly', 'so', 'high']","('fly', 'so', 'high')","['fly', 'so', 'high']","('fly', 'so', 'high')",1.0,0.010299958480867365,king,king,1.0,0.010299958480867365,eagle,eagle,1.0,0.010299958480867365,and,and,1.0,0.010299958480867365,fly,fly,1.0,0.010299958480867365,so,so,2.0,0.02059991696173473,high,high,1.0,0.010299958480867365
3997-182399-0018,18,1,1,when he get home he try an try to brush that soot off but it done get into the skin an it stay there,"['off', 'but', 'it']","('off', 'but', 'it')","['off', 'but', 'it']","('off', 'but', 'it')",1.0,0.010299958480867365,"['get', 'into', 'the']","('get', 'into', 'the')","['get', 'into', 'the']","('get', 'into', 'the')",1.0,0.010299958480867365,off,off,1.0,0.010299958480867365,but,but,1.0,0.010299958480867365,it,it,1.0,0.010299958480867365,get,get,1.0,0.010299958480867365,into,into,1.0,0.010299958480867365,the,the,1.0,0.010299958480867365
4841-26659-0060,60,1,1,i done brung him down an lef him in your shed an i lowed p'rhaps uncle jerry'd take him ovah to his paw again he swallowed and turned his face away the critter'd starve up yander anyhow i ain't hoss stealin,"[nan, nan, 'i']","(nan, nan, 'i')",['i'],"('i',)",1.0,0.010299958480867365,"['brung', 'him', 'down']","('brung', 'him', 'down')","['brung', 'him', 'down']","('brung', 'him', 'down')",1.0,0.010299958480867365,,,4.0,0.04119983392346946,,,2.0,0.02059991696173473,i,i,2.0,0.02059991696173473,brung,brung,2.0,0.02059991696173473,him,him,1.0,0.010299958480867365,down,down,1.0,0.010299958480867365
4841-26659-0071,71,1,1,likely she done broke her hip is cass thar now,"[nan, 'likely', 'she']","(nan, 'likely', 'she')","['likely', 'she']","('likely', 'she')",1.0,0.010299958480867365,"['broke', 'her', 'hip']","('broke', 'her', 'hip')","['broke', 'her', 'hip']","('broke', 'her', 'hip')",1.0,0.010299958480867365,,,4.0,0.04119983392346946,likely,likely,1.0,0.010299958480867365,she,she,1.0,0.010299958480867365,broke,broke,1.0,0.010299958480867365,her,her,1.0,0.010299958480867365,hip,hip,1.0,0.010299958480867365
4860-13185-0062,62,1,1,done spoil all de dinner and run away wid de knives and forks sambo said captain leebrace soon resolved on a course of reprisals,"[nan, nan, nan]","(nan, nan, nan)",[],(),1.0,0.010299958480867365,"['spoil', 'all', 'de']","('spoil', 'all', 'de')","['spoil', 'all', 'de']","('spoil', 'all', 'de')",1.0,0.010299958480867365,,,4.0,0.04119983392346946,,,2.0,0.02059991696173473,,,1.0,0.010299958480867365,spoil,spoil,1.0,0.010299958480867365,all,all,1.0,0.010299958480867365,de,de,1.0,0.010299958480867365
5296-26679-0026,26,1,1,like you done tol me about an this'n hit's our house an here's whar ol pete bides at an this'n's ol pete kickin out like he hated somethin like he does when we give frale's colt his corn first the other small boys,"[nan, 'like', 'you']","(nan, 'like', 'you')","['like', 'you']","('like', 'you')",1.0,0.010299958480867365,"['tol', 'me', 'about']","('tol', 'me', 'about')","['tol', 'me', 'about']","('tol', 'me', 'about')",1.0,0.010299958480867365,,,4.0,0.04119983392346946,like,like,1.0,0.010299958480867365,you,you,1.0,0.010299958480867365,tol,tol,1.0,0.010299958480867365,me,me,2.0,0.02059991696173473,about,about,1.0,0.010299958480867365
5456-62014-0010,10,1,1,an i spec he done come f'um dat wo'm kyountry whar we year tell bout way off yonner,"['i', 'spec', 'he']","('i', 'spec', 'he')","['i', 'spec', 'he']","('i', 'spec', 'he')",1.0,0.010299958480867365,"['come', ""f'um"", 'dat']","('come', ""f'um"", 'dat')","['come', ""f'um"", 'dat']","('come', ""f'um"", 'dat')",1.0,0.010299958480867365,i,i,1.0,0.010299958480867365,spec,spec,1.0,0.010299958480867365,he,he,1.0,0.010299958480867365,come,come,2.0,0.02059991696173473,f'um,f'um,1.0,0.010299958480867365,dat,dat,1.0,0.010299958480867365
5653-46266-0004,4,1,1,they sut'n'ly is the handsomest couple evah jined togethah an the free handedest in all they travels by sea or by land they nevah fo'gits ole daphne i've got things from every country undah the shinin sun what they done brung me,"['sun', 'what', 'they']","('sun', 'what', 'they')","['sun', 'what', 'they']","('sun', 'what', 'they')",1.0,0.010299958480867365,"['brung', 'me', nan]","('brung', 'me', nan)","['brung', 'me']","('brung', 'me')",1.0,0.010299958480867365,sun,sun,1.0,0.010299958480867365,what,what,1.0,0.010299958480867365,they,they,1.0,0.010299958480867365,brung,brung,2.0,0.02059991696173473,me,me,2.0,0.02059991696173473,,,1.0,0.010299958480867365
7320-93280-0022,22,1,1,no wonder day calls me sampson i done lifted dis monstrousness airship wif one hand,"['me', 'sampson', 'i']","('me', 'sampson', 'i')","['me', 'sampson', 'i']","('me', 'sampson', 'i')",1.0,0.010299958480867365,"['lifted', 'dis', 'monstrousness']","('lifted', 'dis', 'monstrousness')","['lifted', 'dis', 'monstrousness']","('lifted', 'dis', 'monstrousness')",1.0,0.010299958480867365,me,me,2.0,0.02059991696173473,sampson,sampson,1.0,0.010299958480867365,i,i,2.0,0.02059991696173473,lifted,lifted,1.0,0.010299958480867365,dis,dis,1.0,0.010299958480867365,monstrousness,monstrousness,1.0,0.010299958480867365
8066-114256-0006,6,1,1,why rich will hit's like you say plumb wrong we done hit so damned easy i lay awake nights plannin how ter spend my share o this pile we must have fifty sixty thousand dollars o dust buried under the floor don't ye think,"['plumb', 'wrong', 'we']","('plumb', 'wrong', 'we')","['plumb', 'wrong', 'we']","('plumb', 'wrong', 'we')",1.0,0.010299958480867365,"['hit', 'so', 'damned']","('hit', 'so', 'damned')","['hit', 'so', 'damned']","('hit', 'so', 'damned')",1.0,0.010299958480867365,plumb,plumb,1.0,0.010299958480867365,wrong,wrong,1.0,0.010299958480867365,we,we,1.0,0.010299958480867365,hit,hit,1.0,0.010299958480867365,so,so,2.0,0.02059991696173473,damned,damned,1.0,0.010299958480867365
