File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,L3_L1_List,L3_L1_Tuple,CleanedL3_L1_List,CleanedL3_L1_Tuple,Count_CleanedL3_L1_Tuple,NormCount_CleanedL3_L1_Tuple,R1_R3_List,R1_R3_Tuple,CleanedR1_R3_List,CleanedR1_R3_Tuple,Count_CleanedR1_R3_Tuple,NormCount_CleanedR1_R3_Tuple,L3,Cleaned_L3,L3_Count,L3_Norm_Count,L2,Cleaned_L2,L2_Count,L2_Norm_Count,L1,Cleaned_L1,L1_Count,L1_Norm_Count,R1,Cleaned_R1,R1_Count,R1_Norm_Count,R2,Cleaned_R2,R2_Count,R2_Norm_Count,R3,Cleaned_R3,R3_Count,R3_Norm_Count
ATL_se0_ag1_m_01_1,214,1,1,N- you done came to find some more shit.,"[nan, 'N-', 'you']","(nan, 'N-', 'you')","['n-', 'you']","('n-', 'you')",1.0,0.07246093268814119,"['came', 'to', 'find']","('came', 'to', 'find')","['came', 'to', 'find']","('came', 'to', 'find')",1.0,0.07246093268814119,,,40.0,2.8984373075256475,N-,n,1.0,0.07246093268814119,you,you,18.0,1.3042967883865415,came,came,1.0,0.07246093268814119,to,to,11.0,0.7970702595695531,find,find,1.0,0.07246093268814119
ATL_se0_ag1_m_03_1,2091,1,1,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.","['not', 'agai-', ""y'all""]","('not', 'agai-', ""y'all"")","['not', 'agai-', ""y'all""]","('not', 'agai-', ""y'all"")",1.0,0.07246093268814119,"['already', 'jumped-', 'come']","('already', 'jumped-', 'come')","['already', 'jumped-', 'come']","('already', 'jumped-', 'come')",1.0,0.07246093268814119,not,not,1.0,0.07246093268814119,agai-,agai,1.0,0.07246093268814119,y'all,y'all,1.0,0.07246093268814119,already,already,2.0,0.14492186537628238,jumped-,jumped,1.0,0.07246093268814119,come,come,1.0,0.07246093268814119
ATL_se0_ag1_m_04_1,650,1,1,before they even realize what you got. And a lot of people- I done had people,"['of', 'people-', 'I']","('of', 'people-', 'I')","['of', 'people-', 'i']","('of', 'people-', 'i')",1.0,0.07246093268814119,"['had', 'people', nan]","('had', 'people', nan)","['had', 'people']","('had', 'people')",1.0,0.07246093268814119,of,of,2.0,0.14492186537628238,people-,people,3.0,0.21738279806442357,I,i,35.0,2.5361326440849417,had,had,7.0,0.5072265288169884,people,people,1.0,0.07246093268814119,,,25.0,1.8115233172035299
ATL_se0_ag1_m_04_1,686,1,1,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,"['cause', 'I-', 'I']","('cause', 'I-', 'I')","['cause', 'i-', 'i']","('cause', 'i-', 'i')",1.0,0.07246093268814119,"['been', 'to', 'a']","('been', 'to', 'a')","['been', 'to', 'a']","('been', 'to', 'a')",1.0,0.07246093268814119,cause,cause,2.0,0.14492186537628238,I-,i,4.0,0.28984373075256475,I,i,35.0,2.5361326440849417,been,been,7.0,0.5072265288169884,to,to,11.0,0.7970702595695531,a,a,3.0,0.21738279806442357
ATL_se0_ag1_m_04_2,245,1,1,"I mean, nobody had done been, um, coming to you tryna push that","['mean,', 'nobody', 'had']","('mean,', 'nobody', 'had')","['mean', 'nobody', 'had']","('mean', 'nobody', 'had')",1.0,0.07246093268814119,"['been,', 'um,', 'coming']","('been,', 'um,', 'coming')","['been', 'um', 'coming']","('been', 'um', 'coming')",1.0,0.07246093268814119,"mean,",mean,1.0,0.07246093268814119,nobody,nobody,1.0,0.07246093268814119,had,had,6.0,0.43476559612884713,"been,",been,7.0,0.5072265288169884,"um,",um,1.0,0.07246093268814119,coming,coming,1.0,0.07246093268814119
ATL_se0_ag1_m_05_1,659,1,1,I done did a few folks,"[nan, nan, 'I']","(nan, nan, 'I')",['i'],"('i',)",7.0,0.5072265288169884,"['did', 'a', 'few']","('did', 'a', 'few')","['did', 'a', 'few']","('did', 'a', 'few')",1.0,0.07246093268814119,,,40.0,2.8984373075256475,,,21.0,1.5216795864509651,I,i,35.0,2.5361326440849417,did,did,10.0,0.7246093268814119,a,a,6.0,0.43476559612884713,few,few,1.0,0.07246093268814119
ATL_se0_ag1_m_05_1,1080,1,1,"uh, you done went out let's say a night after that as well too,","[nan, 'uh,', 'you']","(nan, 'uh,', 'you')","['uh', 'you']","('uh', 'you')",1.0,0.07246093268814119,"['went', 'out', ""let's""]","('went', 'out', ""let's"")","['went', 'out', ""let's""]","('went', 'out', ""let's"")",1.0,0.07246093268814119,,,40.0,2.8984373075256475,"uh,",uh,2.0,0.14492186537628238,you,you,18.0,1.3042967883865415,went,went,7.0,0.5072265288169884,out,out,2.0,0.14492186537628238,let's,let's,1.0,0.07246093268814119
ATL_se0_ag2_m_01_1,593,1,1,"It gets rogue because you done depressed yourself so much,","['rogue', 'because', 'you']","('rogue', 'because', 'you')","['rogue', 'because', 'you']","('rogue', 'because', 'you')",1.0,0.07246093268814119,"['depressed', 'yourself', 'so']","('depressed', 'yourself', 'so')","['depressed', 'yourself', 'so']","('depressed', 'yourself', 'so')",1.0,0.07246093268814119,rogue,rogue,1.0,0.07246093268814119,because,because,2.0,0.14492186537628238,you,you,18.0,1.3042967883865415,depressed,depressed,1.0,0.07246093268814119,yourself,yourself,1.0,0.07246093268814119,so,so,2.0,0.14492186537628238
ATL_se0_ag2_m_02_1,2088,1,1,you more than welcome. We pretty much done hit,"['We', 'pretty', 'much']","('We', 'pretty', 'much')","['we', 'pretty', 'much']","('we', 'pretty', 'much')",1.0,0.07246093268814119,"['hit', nan, nan]","('hit', nan, nan)",['hit'],"('hit',)",1.0,0.07246093268814119,We,we,2.0,0.14492186537628238,pretty,pretty,1.0,0.07246093268814119,much,much,1.0,0.07246093268814119,hit,hit,2.0,0.14492186537628238,,,8.0,0.5796874615051295,,,25.0,1.8115233172035299
ATL_se0_ag2_m_03_1,370,1,1,you feel me. It's- it's a lot of people that done got influenced from Atlanta cause Atlanta was like,"['of', 'people', 'that']","('of', 'people', 'that')","['of', 'people', 'that']","('of', 'people', 'that')",1.0,0.07246093268814119,"['got', 'influenced', 'from']","('got', 'influenced', 'from')","['got', 'influenced', 'from']","('got', 'influenced', 'from')",1.0,0.07246093268814119,of,of,2.0,0.14492186537628238,people,people,3.0,0.21738279806442357,that,that,1.0,0.07246093268814119,got,got,10.0,0.7246093268814119,influenced,influenced,1.0,0.07246093268814119,from,from,2.0,0.14492186537628238
